"",BBFB1.Q.N.DE.CZ.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:43,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,683.109,
1993-04,788.949,
1993-07,730.048,
1993-10,899.309,
1994-01,816.135,
1994-04,1071.148,
1994-07,948.702,
1994-10,1100.001,
1995-01,1061.661,
1995-04,1326.683,
1995-07,1463.638,
1995-10,1707.171,
1996-01,1246.976,
1996-04,1459.902,
1996-07,1433.506,
1996-10,1536.326,
1997-01,1482.330,
1997-04,1817.955,
1997-07,1733.531,
1997-10,1785.823,
1998-01,1686.133,
1998-04,1996.470,
1998-07,1912.452,
1998-10,2070.923,
1999-01,1898.396,
1999-04,2005.524,
1999-07,2031.848,
1999-10,2330.648,
2000-01,2181.899,
2000-04,2480.554,
2000-07,2635.509,
2000-10,3052.653,
2001-01,2981.516,
2001-04,3205.868,
2001-07,3031.240,
2001-10,3236.334,
2002-01,3028.005,
2002-04,3308.952,
2002-07,3276.604,
2002-10,3280.318,
2003-01,3182.517,
2003-04,3525.566,
2003-07,3423.319,
2003-10,3436.993,
2004-01,3630.619,
2004-04,4003.985,
2004-07,3582.275,
2004-10,3723.296,
2005-01,3880.230,
2005-04,4230.779,
2005-07,4040.113,
2005-10,4619.505,
2006-01,4728.704,
2006-04,5017.633,
2006-07,4883.240,
2006-10,5359.192,
2007-01,5632.689,
2007-04,5802.834,
2007-07,5818.711,
2007-10,6254.112,
2008-01,6416.300,
2008-04,6622.729,
2008-07,6313.179,
2008-10,5948.186,
2009-01,4729.017,
2009-04,4952.057,
2009-07,5286.566,
2009-10,5516.318,
2010-01,5494.388,
2010-04,6113.246,
2010-07,6279.386,
2010-10,7123.220,
2011-01,7130.043,
2011-04,7549.960,
2011-07,7269.943,
2011-10,7447.469,
2012-01,7798.906,
2012-04,7474.303,
2012-07,7419.289,
2012-10,7331.209,
2013-01,7311.860,
2013-04,7309.958,
2013-07,7451.741,
2013-10,7786.737,
2014-01,8075.446,Provisional value
2014-04,8092.210,Provisional value
2014-07,7949.699,Provisional value
