"",BBSF2.M.1.S.00000.GEM01.A.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.A.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:39,
1993-04,535,
1993-05,110,
1993-06,445,
1993-07,636,
1993-08,353,
1993-09,214,
1993-10,906,
1993-11,644,
1993-12,2200,
1994-01,1948,
1994-02,1527,
1994-03,710,
1994-04,2396,
1994-05,943,
1994-06,633,
1994-07,913,
1994-08,551,
1994-09,-474,
1994-10,1511,
1994-11,-646,
1994-12,2242,
1995-01,1867,
1995-02,980,
1995-03,477,
1995-04,492,
1995-05,237,
1995-06,38,
1995-07,483,
1995-08,414,
1995-09,1448,
1995-10,98,
1995-11,1365,
1995-12,3291,
1996-01,2492,
1996-02,2751,
1996-03,1568,
1996-04,1289,
1996-05,759,
1996-06,1212,
1996-07,1348,
1996-08,1038,
1996-09,319,
1996-10,1764,
1996-11,1009,
1996-12,3564,
1997-01,3194,
1997-02,2939,
1997-03,2038,
1997-04,1836,
1997-05,934,
1997-06,3253,
1997-07,3391,
1997-08,3480,
1997-09,2102,
1997-10,2851,
1997-11,558,
1997-12,7882,
1998-01,6163,
1998-02,3602,
1998-03,3454,
1998-04,2737,
1998-05,2528,
1998-06,1894,
1998-07,4245,
1998-08,3704,
1998-09,3430,
1998-10,2300,
1998-11,1767,
1998-12,8323,
1999-01,3920,
1999-02,2346,
1999-03,2528,
1999-04,3219,
1999-05,3705,
1999-06,2359,
1999-07,2354,
1999-08,2560,
1999-09,274,
1999-10,1775,
1999-11,754,
1999-12,8199,
2000-01,5413,
2000-02,-1041,
2000-03,1956,
2000-04,221,
2000-05,1825,
2000-06,-1022,
2000-07,1944,
2000-08,1681,
2000-09,2944,
2000-10,1090,
2000-11,1130,
2000-12,8515,
2001-01,4065,
2001-02,3713,
2001-03,802,
2001-04,-182,
2001-05,899,
2001-06,644,
2001-07,1842,
2001-08,1235,
2001-09,-364,
2001-10,3347,
2001-11,851,
2001-12,5131,
2002-01,1763,
2002-02,1271,
2002-03,-1756,
2002-04,3214,
2002-05,1246,
2002-06,3158,
2002-07,1556,
2002-08,688,
2002-09,955,
2002-10,571,
2002-11,2252,
2002-12,39,
2003-01,2976,
2003-02,-367,
2003-03,3290,
2003-04,1948,
2003-05,2465,
2003-06,1316,
2003-07,-935,
2003-08,306,
2003-09,2537,
2003-10,1069,
2003-11,-1861,
2003-12,4815,
2004-01,3696,
2004-02,-1130,
2004-03,1373,
2004-04,1691,
2004-05,-783,
2004-06,1513,
2004-07,265,
2004-08,-93,
2004-09,-1282,
2004-10,323,
2004-11,-340,
2004-12,560,
2005-01,1699,
2005-02,1314,
2005-03,422,
2005-04,1206,
2005-05,-1224,
2005-06,2782,
2005-07,124,
2005-08,2454,
2005-09,-961,
2005-10,3082,
2005-11,113,
2005-12,4958,
2006-01,1601,
2006-02,2662,
2006-03,1095,
2006-04,365,
2006-05,869,
2006-06,-231,
2006-07,3336,
2006-08,5411,
2006-09,1064,
2006-10,-347,
2006-11,1386,
2006-12,5380,
2007-01,1173,
2007-02,504,
2007-03,552,
2007-04,1968,
2007-05,-685,
2007-06,407,
2007-07,-1578,
2007-08,-1001,
2007-09,-611,
2007-10,-1658,
2007-11,1832,
2007-12,1700,
2008-01,-857,
2008-02,1197,
2008-03,1144,
2008-04,-319,
2008-05,-1388,
2008-06,522,
2008-07,-7626,
2008-08,1409,
2008-09,1853,
2008-10,-5078,
2008-11,858,
2008-12,-2543,
2009-01,-1228,
2009-02,-1640,
2009-03,-634,
2009-04,-189,
2009-05,-4042,
2009-06,-1388,
2009-07,-2662,
2009-08,-486,
2009-09,1617,
2009-10,5545,
2009-11,-198,
2009-12,-353,
2010-01,-507,
2010-02,602,
2010-03,821,
2010-04,2576,
2010-05,1280,
2010-06,3671,
2010-07,2082,
2010-08,1520,
2010-09,247,
2010-10,2503,
2010-11,1363,
2010-12,3714,
2011-01,2438,
2011-02,-717,
2011-03,787,
2011-04,182,
2011-05,-684,
2011-06,93,
2011-07,227,
2011-08,-595,
2011-09,-797,
2011-10,-144,
2011-11,2205,
2011-12,626,
2012-01,-4155,
2012-02,4819,
2012-03,489,
2012-04,1956,
2012-05,161,
2012-06,1066,
2012-07,473,
2012-08,671,
2012-09,2066,
2012-10,1674,
2012-11,2727,
2012-12,6411,
2013-01,1678,
2013-02,4594,
2013-03,4119,
2013-04,1004,
2013-05,2381,
2013-06,2507,
2013-07,2514,
2013-08,1345,
2013-09,202,
2013-10,310,
2013-11,1472,
2013-12,5523,
2014-01,-49,
2014-02,1391,
2014-03,1536,
2014-04,416,
2014-05,1637,
2014-06,665,
2014-07,3506,
2014-08,3337,
2014-09,1829,
2014-10,1425,
2014-11,1794,
