"",BBNZ1.Q.DE.N.G.1021.A,BBNZ1.Q.DE.N.G.1021.A_FLAGS
"",Germany / National accounts / Gross wages and salaries per hour worked by employees /  Whole economy,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:08,
1991-01,53.5,
1991-04,62.8,
1991-07,60.9,
1991-10,71.3,
1992-01,59.0,
1992-04,68.3,
1992-07,67.5,
1992-10,77.3,
1993-01,64.3,
1993-04,73.3,
1993-07,70.5,
1993-10,81.0,
1994-01,66.6,
1994-04,74.7,
1994-07,71.6,
1994-10,83.0,
1995-01,68.3,
1995-04,78.5,
1995-07,75.0,
1995-10,85.7,
1996-01,71.4,
1996-04,79.7,
1996-07,76.2,
1996-10,87.8,
1997-01,73.7,
1997-04,79.9,
1997-07,76.6,
1997-10,88.0,
1998-01,73.4,
1998-04,82.5,
1998-07,78.3,
1998-10,88.6,
1999-01,74.9,
1999-04,84.6,
1999-07,80.7,
1999-10,90.5,
2000-01,76.2,
2000-04,86.7,
2000-07,83.2,
2000-10,94.4,
2001-01,79.0,
2001-04,89.2,
2001-07,85.0,
2001-10,96.7,
2002-01,81.4,
2002-04,90.2,
2002-07,86.5,
2002-10,98.6,
2003-01,82.6,
2003-04,92.7,
2003-07,88.0,
2003-10,99.4,
2004-01,83.8,
2004-04,94.1,
2004-07,89.1,
2004-10,98.6,
2005-01,86.6,
2005-04,93.7,
2005-07,89.6,
2005-10,99.6,
2006-01,83.6,
2006-04,94.5,
2006-07,89.7,
2006-10,99.0,
2007-01,84.3,
2007-04,95.5,
2007-07,90.6,
2007-10,100.8,
2008-01,87.3,
2008-04,96.7,
2008-07,93.0,
2008-10,104.9,
2009-01,90.5,
2009-04,102.5,
2009-07,96.7,
2009-10,107.0,
2010-01,93.0,
2010-04,103.3,
2010-07,97.2,
2010-10,106.5,
2011-01,93.8,
2011-04,106.6,
2011-07,99.8,
2011-10,111.3,
2012-01,96.3,
2012-04,111.5,
2012-07,104.2,
2012-10,116.0,
2013-01,101.4,
2013-04,113.6,
2013-07,106.0,
2013-10,118.8,
2014-01,102.3,
2014-04,116.5,
2014-07,108.4,
2014-10,120.8,
