"",BBEX3.M.TOP.EUR.CM.AA.A01,BBEX3.M.TOP.EUR.CM.AA.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Tonga * / EUR 1 = TOP ... (buying),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:27,
2006-01,0.4196,
2006-02,0.4277,
2006-03,0.4192,
2006-04,0.4153,
2006-05,0.4062,
2006-06,0.4007,
2006-07,0.4052,
2006-08,0.4336,
2006-09,0.4356,
2006-10,0.4382,
2006-11,0.4252,
2006-12,0.4255,
2007-01,0.4250,
2007-02,0.4213,
2007-03,0.4222,
2007-04,0.4162,
2007-05,0.4197,
2007-06,0.4280,
2007-07,0.4172,
2007-08,0.4074,
2007-09,0.4045,
2007-10,0.4040,
2007-11,0.3958,
2007-12,0.4029,
2008-01,0.4028,
2008-02,0.4054,
2008-03,0.3861,
2008-04,0.3892,
2008-05,0.3929,
2008-06,0.3842,
2008-07,0.3572,
2008-08,0.3662,
2008-09,0.3904,
2008-10,0.4048,
2008-11,0.3989,
2008-12,0.3716,
2009-01,0.3905,
2009-02,0.3920,
2009-03,0.3922,
2009-04,0.3971,
2009-05,0.3928,
2009-06,0.3951,
2009-07,0.3989,
2009-08,0.4002,
2009-09,0.4004,
2009-10,0.4008,
2009-11,0.3931,
2009-12,0.4099,
2010-01,0.4197,
2010-02,0.3997,
2010-03,0.4065,
2010-04,0.4065,
2010-05,0.4329,
2010-06,0.4714,
2010-07,0.4442,
2010-08,0.4244,
2010-09,0.4067,
2010-10,0.4352,
2010-11,0.4660,
2010-12,0.4705,
2011-01,0.4582,
2011-02,0.4519,
2011-03,0.4423,
2011-04,0.4353,
2011-05,0.4564,
2011-06,0.4315,
2011-07,0.4638,
2011-08,0.4495,
2011-09,0.4495,
2011-10,0.4504,
2011-11,0.4877,
2011-12,0.5042,
2012-01,0.4760,
2012-02,0.5003,
2012-03,0.4958,
2012-04,0.4994,
2012-05,0.4771,
2012-06,0.4816,
2012-07,0.5280,
2012-08,0.5182,
2012-09,0.5100,
2012-10,0.4707,
2012-11,0.4699,
2012-12,0.4582,
2013-01,0.4503,
2013-02,0.4615,
2013-03,0.4775,
2013-04,0.4678,
2013-05,0.4538,
2013-06,0.4438,
2013-07,0.4383,
2013-08,0.4314,
2013-09,0.4354,
2013-10,0.4295,
2013-11,0.4101,
2013-12,0.4012,
2014-01,0.4068,
2014-02,0.4028,
2014-03,0.4101,
2014-04,0.4071,
2014-05,0.4121,
2014-06,0.4164,
2014-07,0.4226,
2014-08,0.4228,
2014-09,0.4278,
2014-10,0.4269,
2014-11,0.4243,
2014-12,0.4323,
"","General: From 1999 to 2005 and since January 2015, only middle rates were reported; see BBEX3:M:TOP:EUR:CM:AC:A01.",
"","Source: August 2006 - December 2014 Westpac Bank of Tonga, Nuku'alofa January 2006 - July 2006 Australia and New Zealand Banking Group (ANZ), Nuku'alofa",
"","Methodology: * We only have data on euro exchange rates until October 2013. From November 2013 to December 2014, comparable values were calculated on the basis of the exchange rates for the US dollar in Tonga in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar; annual averages calculated on the basis of month-end exchange rates/month-end comparable rates.",
