"",BBFN1.M.DE.N.1.L.DK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:10,
1994-12,1.070,
1995-01,1.052,
1995-02,1.048,
1995-03,1.077,
1995-04,1.083,
1995-05,1.092,
1995-06,1.079,
1995-07,1.073,
1995-08,1.100,
1995-09,1.088,
1995-10,1.075,
1995-11,1.106,
1995-12,0.965,
1996-01,1.015,
1996-02,1.048,
1996-03,1.136,
1996-04,1.088,
1996-05,1.120,
1996-06,1.158,
1996-07,1.172,
1996-08,1.169,
1996-09,1.204,
1996-10,1.231,
1996-11,1.234,
1996-12,1.154,
1997-01,1.143,
1997-02,1.069,
1997-03,1.111,
1997-04,1.092,
1997-05,1.105,
1997-06,1.241,
1997-07,1.191,
1997-08,1.201,
1997-09,1.240,
1997-10,1.170,
1997-11,1.184,
1997-12,1.147,
1998-01,1.225,
1998-02,1.262,
1998-03,1.418,
1998-04,1.569,
1998-05,1.511,
1998-06,1.539,
1998-07,1.531,
1998-08,1.549,
1998-09,1.716,
1998-10,1.767,
1998-11,1.731,
1998-12,1.819,
1999-01,1.840,
1999-02,1.792,
1999-03,1.961,
1999-04,1.840,
1999-05,1.813,
1999-06,1.757,
1999-07,1.830,
1999-08,1.884,
1999-09,1.941,
1999-10,1.941,
1999-11,2.028,
1999-12,2.362,
2000-01,2.225,
2000-02,2.252,
2000-03,2.260,
2000-04,2.392,
2000-05,2.316,
2000-06,2.217,
2000-07,2.202,
2000-08,2.256,
2000-09,2.311,
2000-10,2.165,
2000-11,2.145,
2000-12,2.048,
2001-01,1.962,
2001-02,2.021,
2001-03,2.009,
2001-04,2.003,
2001-05,2.046,
2001-06,2.117,
2001-07,2.061,
2001-08,2.138,
2001-09,2.289,
2001-10,2.249,
2001-11,2.248,
2001-12,2.176,
2002-01,2.169,
2002-02,2.180,
2002-03,2.067,
2002-04,2.038,
2002-05,2.015,
2002-06,2.288,
2002-07,2.219,
2002-08,2.265,
2002-09,2.246,
2002-10,2.302,
2002-11,2.265,
2002-12,2.346,
2003-01,2.284,
2003-02,2.380,
2003-03,2.433,
2003-04,2.362,
2003-05,2.340,
2003-06,2.493,
2003-07,2.530,
2003-08,2.535,
2003-09,2.533,
2003-10,2.511,
2003-11,2.801,
2003-12,2.440,
2004-01,2.350,
2004-02,2.223,
2004-03,2.300,
2004-04,2.091,
2004-05,2.109,
2004-06,2.137,
2004-07,2.121,
2004-08,2.126,
2004-09,2.080,
2004-10,2.209,
2004-11,2.327,
2004-12,2.357,
2005-01,2.111,
2005-02,2.180,
2005-03,1.974,
2005-04,2.088,
2005-05,2.073,
2005-06,2.085,
2005-07,1.964,
2005-08,2.097,
2005-09,2.099,
2005-10,2.178,
2005-11,2.407,
2005-12,2.526,
2006-01,2.224,
2006-02,2.174,
2006-03,2.259,
2006-04,2.191,
2006-05,2.327,
2006-06,2.174,
2006-07,2.314,
2006-08,2.206,
2006-09,2.295,
2006-10,2.363,
2006-11,2.584,
2006-12,7.557,
2007-01,7.281,
2007-02,7.154,
2007-03,7.079,
2007-04,7.121,
2007-05,7.045,
2007-06,6.908,
2007-07,7.021,
2007-08,7.252,
2007-09,7.462,
2007-10,7.308,
2007-11,7.450,
2007-12,6.823,
2008-01,6.806,
2008-02,6.969,
2008-03,6.995,
2008-04,7.119,
2008-05,7.084,
2008-06,7.004,
2008-07,7.157,
2008-08,7.024,
2008-09,7.274,
2008-10,7.394,
2008-11,7.426,
2008-12,7.414,
2009-01,7.339,
2009-02,7.514,
2009-03,7.439,
2009-04,7.627,
2009-05,7.516,
2009-06,7.373,
2009-07,7.102,
2009-08,7.463,
2009-09,7.551,
2009-10,7.655,
2009-11,7.754,
2009-12,8.238,
2010-01,8.261,
2010-02,8.174,
2010-03,7.701,
2010-04,8.100,
2010-05,8.176,
2010-06,8.683,
2010-07,8.228,
2010-08,8.543,
2010-09,8.878,
2010-10,8.999,
2010-11,9.223,
2010-12,8.967,
2011-01,8.049,
2011-02,7.942,
2011-03,7.653,
2011-04,7.512,
2011-05,7.910,
2011-06,7.938,
2011-07,7.974,
2011-08,8.024,
2011-09,10.173,
2011-10,8.456,
2011-11,8.410,
2011-12,8.066,
2012-01,9.335,
2012-02,5.554,
2012-03,5.431,
2012-04,5.567,
2012-05,5.439,
2012-06,5.625,
2012-07,5.980,
2012-08,6.364,
2012-09,5.954,
2012-10,6.433,
2012-11,5.861,
2012-12,5.722,
2013-01,6.532,
2013-02,6.785,
2013-03,6.374,
2013-04,7.033,
2013-05,6.721,
2013-06,6.199,
2013-07,6.326,
2013-08,6.513,
2013-09,6.498,
2013-10,6.286,
2013-11,6.380,
2013-12,6.331,
2014-01,7.067,
2014-02,6.814,
2014-03,6.624,
2014-04,7.114,
2014-05,6.581,
2014-06,6.453,
2014-07,6.151,
2014-08,6.587,
2014-09,5.371,
2014-10,5.731,
2014-11,5.193,
2014-12,5.238,
