"",BBK01.OEAC04Q,BBK01.OEAC04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:54,
2002-01,2.827,
2002-04,2.799,
2002-07,2.646,
2002-10,2.584,
2003-01,2.543,
2003-04,2.814,
2003-07,2.765,
2003-10,2.643,
2004-01,2.616,
2004-04,2.349,
2004-07,2.283,
2004-10,2.179,
2005-01,2.178,
2005-04,2.112,
2005-07,2.053,
2005-10,1.987,
2006-01,2.029,
2006-04,2.080,
2006-07,2.049,
2006-10,1.940,
2007-01,2.130,
2007-04,2.034,
2007-07,1.931,
2007-10,1.808,
2008-01,1.780,
2008-04,1.763,
2008-07,1.756,
2008-10,1.718,
2009-01,2.240,
2009-04,2.153,
2009-07,2.179,
2009-10,2.161,
2010-01,2.341,
2010-04,2.336,
2010-07,2.285,
2010-10,2.310,
2011-01,2.138,
2011-04,2.043,
2011-07,1.934,
2011-10,1.997,
2012-01,2.032,
2012-04,2.052,
2012-07,2.012,
2012-10,2.041,
2013-01,2.081,
2013-04,2.125,
2013-07,2.071,
2013-10,2.073,
2014-01,2.093,
2014-04,2.130,
2014-07,2.170,
