"",BBEX3.M.CDF.EUR.CA.AA.A01,BBEX3.M.CDF.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in the Democratic Republic of the Congo / EUR 1 = CDF ... (buying),
unit,CDF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:39,
2009-01,919.9559,
2009-02,941.7854,
2009-03,1092.3954,
2009-04,1072.5059,
2009-05,1071.2798,
2009-06,1046.8689,
2009-07,1098.8543,
2009-08,1155.6019,comment
2009-09,1232.3039,
2009-10,1285.1967,
2009-11,1334.0243,
2009-12,1271.8401,
2010-01,1278.5715,
2010-02,1218.1467,
2010-03,1190.1855,
2010-04,1157.6650,
2010-05,1087.2908,
2010-06,1092.2400,
2010-07,1152.1814,
2010-08,1125.2696,
2010-09,1204.7269,
2010-10,1237.7766,
2010-11,1184.3932,
2010-12,1178.0044,
2011-01,1238.2387,
2011-02,1248.0744,
2011-03,1268.5627,
2011-04,1336.1456,
2011-05,1296.7567,
2011-06,1289.7607,
2011-07,1287.0289,
2011-08,1301.3178,
2011-09,1232.8500,
2011-10,1276.9347,
2011-11,1160.3981,
2011-12,1150.4214,
2012-01,1174.4268,
2012-02,1213.7673,
2012-03,1199.3122,
2012-04,1190.0403,
2012-05,1126.2525,
2012-06,1122.1246,
2012-07,1096.0394,
2012-08,1131.4232,
2012-09,1155.6802,
2012-10,1168.9649,
2012-11,1168.7443,
2012-12,1186.8456,
2013-01,1212.7073,
2013-02,1179.4441,
2013-03,1149.7094,
2013-04,1178.2258,
2013-05,1167.2344,
2013-06,1170.8921,
2013-07,1189.4711,
2013-08,1188.2463,
2013-09,1224.9127,
2013-10,1253.1401,
2013-11,1235.0146,
2013-12,1241.0938,
2014-01,1230.5051,
2014-02,1248.5390,
2014-03,1245.8926,
2014-04,1254.7137,
2014-05,1230.1849,
2014-06,1235.7701,
2014-07,1210.9412,
2014-08,1197.5144,
2014-09,1150.5824,
2014-10,1146.2733,
2014-11,1131.7618,
2014-12,1109.5507,
2015-01,1023.6124,
2015-02,1029.4516,
"","General: Until December 2008, only indicative rates (middle rates) were available; see BBEX3:M:CDF:EUR:CA:AC:A01.",
"","Source: Banque Centrale du Congo, Kinshasa",
"",Comment on 2009-08: Exchange rate as of 7 September 2009.,
