"",BBK01.OXA7C9,BBK01.OXA7C9_FLAGS
"","Stocks of loans to other sectors (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:45,
2009-12,0.266,
2010-01,0.268,
2010-02,0.249,
2010-03,0.246,
2010-04,0.249,
2010-05,0.250,
2010-06,0.254,
2010-07,0.235,
2010-08,0.226,
2010-09,0.218,
2010-10,0.215,
2010-11,0.215,
2010-12,0.213,
2011-01,0.213,
2011-02,0.214,
2011-03,0.206,
2011-04,0.206,
2011-05,0.205,
2011-06,0.205,
2011-07,0.196,
2011-08,0.181,
2011-09,0.181,
2011-10,0.180,
2011-11,0.182,
2011-12,0.152,
2012-01,0.152,
2012-02,0.151,
2012-03,0.152,
2012-04,0.151,
2012-05,0.152,
2012-06,0.151,
2012-07,0.084,
2012-08,0.084,
2012-09,0.084,
2012-10,0.084,
2012-11,0.080,
2012-12,0.080,
2013-01,0.044,
2013-02,0.046,
2013-03,0.045,
2013-04,0.038,
2013-05,0.038,
2013-06,0.038,
2013-07,0.039,
2013-08,0.003,
2013-09,0.002,
2013-10,0.002,
2013-11,0.002,
2013-12,0.002,
2014-01,0.002,
2014-02,0.002,
2014-03,0.002,
2014-04,0.002,
2014-05,0.003,
2014-06,0.003,
2014-07,0.003,
2014-08,0.003,
2014-09,0.003,
2014-10,0.003,
2014-11,0.003,
2014-12,0.003,Provisional value
