"",BBK01.OEBO04T,BBK01.OEBO04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:43,
2002-01,-0.054,
2002-04,-0.229,
2002-07,0.008,
2002-10,0.021,
2003-01,0.009,
2003-04,-0.032,
2003-07,0.007,
2003-10,-0.017,
2004-01,-0.026,
2004-04,-0.020,
2004-07,0.002,
2004-10,0.012,
2005-01,0.005,
2005-04,-0.019,
2005-07,-0.030,
2005-10,-0.011,
2006-01,-0.014,
2006-04,-0.034,
2006-07,-0.045,
2006-10,-0.019,
2007-01,0.088,
2007-04,0.013,
2007-07,-0.004,
2007-10,0.050,
2008-01,0.011,
2008-04,0.021,
2008-07,-0.014,
2008-10,0.094,
2009-01,0.024,
2009-04,-0.003,
2009-07,0.076,
2009-10,-0.061,
2010-01,-0.061,
2010-04,-0.021,
2010-07,0.004,
2010-10,0.069,
2011-01,0.046,
2011-04,-0.044,
2011-07,-0.046,
2011-10,-0.011,
2012-01,0.059,
2012-04,-0.037,
2012-07,-0.009,
2012-10,-0.013,
2013-01,-0.089,
2013-04,-0.055,
2013-07,-0.031,
2013-10,-0.024,
2014-01,-0.036,
2014-04,-0.034,
2014-07,0.074,
