"",BBK01.OEAA48N,BBK01.OEAA48N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:21,
2002-01,1.228,
2002-04,1.218,
2002-07,1.172,
2002-10,1.158,
2003-01,1.129,
2003-04,1.094,
2003-07,1.063,
2003-10,1.009,
2004-01,0.994,
2004-04,0.940,
2004-07,0.921,
2004-10,0.709,
2005-01,0.840,
2005-04,0.808,
2005-07,0.780,
2005-10,0.755,
2006-01,0.713,
2006-04,0.684,
2006-07,0.649,
2006-10,0.640,
2007-01,0.597,
2007-04,0.573,
2007-07,0.549,
2007-10,0.521,
2008-01,0.507,
2008-04,0.490,
2008-07,0.486,
2008-10,0.465,
2009-01,0.447,
2009-04,0.439,
2009-07,0.430,
2009-10,0.399,
2010-01,0.384,
2010-04,0.375,
2010-07,0.356,
2010-10,0.307,
2011-01,0.298,
2011-04,0.281,
2011-07,0.247,
2011-10,0.232,
2012-01,0.218,
2012-04,0.213,
2012-07,0.197,
2012-10,0.192,
2013-01,0.180,
2013-04,0.182,
2013-07,0.170,
2013-10,0.161,
2014-01,0.156,
2014-04,0.152,
2014-07,0.144,
