"",BBK01.OECB04M,BBK01.OECB04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:36,
2002-01,9.129,
2002-04,9.047,
2002-07,8.991,
2002-10,8.991,
2003-01,8.759,
2003-04,8.659,
2003-07,8.610,
2003-10,8.477,
2004-01,8.371,
2004-04,8.274,
2004-07,8.210,
2004-10,8.622,
2005-01,14.769,
2005-04,16.011,
2005-07,15.966,
2005-10,15.935,
2006-01,15.909,
2006-04,17.548,
2006-07,17.330,
2006-10,16.934,
2007-01,19.756,
2007-04,16.994,
2007-07,16.569,
2007-10,16.298,
2008-01,15.974,
2008-04,15.671,
2008-07,15.272,
2008-10,14.857,
2009-01,14.525,
2009-04,15.810,
2009-07,15.401,
2009-10,15.014,
2010-01,14.825,
2010-04,14.610,
2010-07,14.722,
2010-10,14.358,
2011-01,14.088,
2011-04,13.928,
2011-07,13.676,
2011-10,13.461,
2012-01,13.230,
2012-04,12.979,
2012-07,12.892,
2012-10,12.795,
2013-01,12.647,
2013-04,12.520,
2013-07,12.260,
2013-10,12.353,
2014-01,12.209,
2014-04,12.189,
2014-07,12.218,
