"",BBK01.TUD406,BBK01.TUD406_FLAGS
"",Lending to banks (MFIs) in the euro area / in the home country / Securities issued by banks / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:52,
1979-12,89768,
1980-01,88988,
1980-02,88134,
1980-03,87689,
1980-04,87796,
1980-05,88756,
1980-06,89345,
1980-07,90631,
1980-08,90758,
1980-09,91738,
1980-10,93053,
1980-11,94447,
1980-12,94985,
1981-01,95038,
1981-02,96190,
1981-03,95995,
1981-04,95672,
1981-05,99136,
1981-06,97154,
1981-07,97874,
1981-08,98067,
1981-09,99646,
1981-10,100433,
1981-11,102665,
1981-12,103671,
1982-01,103945,
1982-02,104093,
1982-03,106216,
1982-04,107296,
1982-05,107974,
1982-06,108146,
1982-07,108267,
1982-08,108765,
1982-09,111431,
1982-10,114102,
1982-11,116530,
1982-12,118711,
1983-01,121703,
1983-02,122525,
1983-03,123313,
1983-04,125161,
1983-05,128204,
1983-06,130228,
1983-07,129752,
1983-08,130064,
1983-09,130132,
1983-10,131420,
1983-11,131794,
1983-12,132998,
1984-01,130641,
1984-02,129385,
1984-03,130475,
1984-04,130539,
1984-05,130582,
1984-06,131079,
1984-07,131309,
1984-08,132458,
1984-09,135709,
1984-10,137168,
1984-11,140278,
1984-12,140505,
1985-01,138930,
1985-02,139014,
1985-03,139962,
1985-04,138077,
1985-05,139229,
1985-06,140405,
1985-07,143958,
1985-08,145061,
1985-09,146354,
1985-10,147810,
1985-11,148175,
1985-12,154585,
1986-01,157915,
1986-02,157570,
1986-03,158950,
1986-04,158532,
1986-05,159364,
1986-06,159491,
1986-07,161142,
1986-08,163189,
1986-09,165523,
1986-10,163128,
1986-11,165296,
1986-12,164829,
1987-01,168262,
1987-02,170532,
1987-03,168438,
1987-04,169401,
1987-05,172213,
1987-06,172052,
1987-07,172856,
1987-08,174451,
1987-09,175570,
1987-10,177665,
1987-11,179493,
1987-12,179619,
1988-01,182196,
1988-02,181954,
1988-03,181042,
1988-04,180773,
1988-05,181568,
1988-06,181382,
1988-07,181394,
1988-08,183183,
1988-09,183844,
1988-10,185684,
1988-11,187763,
1988-12,185603,
1989-01,184989,
1989-02,185394,
1989-03,189079,
1989-04,185045,
1989-05,185313,
1989-06,186645,
1989-07,186774,
1989-08,186378,
1989-09,187467,
1989-10,190284,
1989-11,192107,
1989-12,189662,
1990-01,192697,
1990-02,191944,
1990-03,195155,
1990-04,190417,
1990-05,190708,
1990-06,190048,
1990-07,190430,
1990-08,193438,
1990-09,199324,
1990-10,210881,
1990-11,216780,
1990-12,218709,
1991-01,218474,
1991-02,219869,
1991-03,222005,
1991-04,223875,
1991-05,225578,
1991-06,224002,
1991-07,223565,
1991-08,224871,
1991-09,224902,
1991-10,228378,
1991-11,229877,
1991-12,232133,
1992-01,232236,
1992-02,231766,
1992-03,232936,
