"",BBFN1.M.DE.N.1.L.O1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.O1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:21,
1995-01,0.459,
1995-02,0.471,
1995-03,0.515,
1995-04,0.481,
1995-05,0.471,
1995-06,0.471,
1995-07,0.465,
1995-08,0.477,
1995-09,0.490,
1995-10,0.492,
1995-11,0.447,
1995-12,0.470,
1996-01,0.449,
1996-02,0.458,
1996-03,0.478,
1996-04,0.516,
1996-05,0.554,
1996-06,0.494,
1996-07,0.507,
1996-08,0.504,
1996-09,0.542,
1996-10,0.514,
1996-11,0.540,
1996-12,0.548,
1997-01,0.525,
1997-02,0.443,
1997-03,0.438,
1997-04,0.456,
1997-05,0.463,
1997-06,0.419,
1997-07,0.400,
1997-08,0.368,
1997-09,0.370,
1997-10,0.367,
1997-11,0.397,
1997-12,0.363,
1998-01,0.381,
1998-02,0.396,
1998-03,0.361,
1998-04,0.375,
1998-05,0.380,
1998-06,0.388,
1998-07,0.316,
1998-08,0.266,
1998-09,0.255,
1998-10,0.272,
1998-11,0.250,
1998-12,0.251,
1999-01,0.238,
1999-02,0.267,
1999-03,0.217,
1999-04,0.230,
1999-05,0.242,
1999-06,0.253,
1999-07,0.270,
1999-08,0.261,
1999-09,0.276,
1999-10,0.224,
1999-11,0.253,
1999-12,0.222,
2000-01,0.224,
2000-02,0.260,
2000-03,0.256,
2000-04,0.263,
2000-05,0.257,
2000-06,0.224,
2000-07,0.235,
2000-08,0.235,
2000-09,0.206,
2000-10,0.232,
2000-11,0.236,
2000-12,0.324,
2001-01,0.221,
2001-02,0.206,
2001-03,0.203,
2001-04,0.267,
2001-05,0.197,
2001-06,0.274,
2001-07,0.179,
2001-08,0.195,
2001-09,0.247,
2001-10,0.173,
2001-11,0.167,
2001-12,0.202,
2002-01,0.233,
2002-02,0.431,
2002-03,0.464,
2002-04,0.432,
2002-05,0.429,
2002-06,0.490,
2002-07,0.474,
2002-08,0.484,
2002-09,1.061,
2002-10,1.023,
2002-11,1.093,
2002-12,1.029,
2003-01,1.059,
2003-02,1.060,
2003-03,1.348,
2003-04,1.353,
2003-05,1.331,
2003-06,1.467,
2003-07,1.441,
2003-08,1.426,
2003-09,1.647,
2003-10,1.616,
2003-11,1.666,
2003-12,1.664,
2004-01,1.896,
2004-02,1.886,
2004-03,2.222,
2004-04,2.215,
2004-05,2.246,
2004-06,2.767,
2004-07,2.769,
2004-08,2.654,
2004-09,2.718,
2004-10,2.774,
2004-11,2.776,
2004-12,2.726,
2005-01,0.386,
2005-02,0.384,
2005-03,0.370,
2005-04,0.369,
2005-05,0.381,
2005-06,0.398,
2005-07,0.414,
2005-08,0.465,
2005-09,0.423,
2005-10,0.452,
2005-11,0.442,
2005-12,0.451,
2006-01,0.444,
2006-02,0.452,
2006-03,0.445,
2006-04,0.420,
2006-05,0.493,
2006-06,0.513,
2006-07,0.506,
2006-08,0.513,
2006-09,0.532,
2006-10,0.521,
2006-11,0.563,
2006-12,0.559,
2007-01,0.537,
2007-02,0.541,
2007-03,0.766,
2007-04,0.588,
2007-05,0.680,
2007-06,0.601,
2007-07,0.630,
2007-08,0.648,
2007-09,0.741,
2007-10,0.687,
2007-11,0.708,
2007-12,0.654,
2008-01,0.544,
2008-02,0.508,
2008-03,0.464,
2008-04,0.562,
2008-05,0.577,
2008-06,0.609,
2008-07,0.651,
2008-08,0.633,
2008-09,0.689,
2008-10,0.699,
2008-11,0.837,
2008-12,0.940,
2009-01,0.756,
2009-02,0.855,
2009-03,1.281,
2009-04,0.972,
2009-05,1.087,
2009-06,1.029,
2009-07,1.049,
2009-08,1.096,
2009-09,0.956,
2009-10,1.039,
2009-11,0.967,
2009-12,0.929,
2010-01,0.955,
2010-02,1.005,
2010-03,0.995,
2010-04,0.817,
2010-05,0.941,
2010-06,1.068,
2010-07,1.122,
2010-08,1.160,
2010-09,1.261,
2010-10,1.239,
2010-11,1.395,
2010-12,1.379,
2011-01,1.131,
2011-02,1.116,
2011-03,0.950,
2011-04,0.981,
2011-05,1.062,
2011-06,1.508,
2011-07,1.257,
2011-08,1.331,
2011-09,1.436,
2011-10,1.391,
2011-11,1.293,
2011-12,1.318,
2012-01,1.263,
2012-02,1.423,
2012-03,1.229,
2012-04,1.266,
2012-05,1.238,
2012-06,1.455,
2012-07,1.434,
2012-08,1.430,
2012-09,1.410,
2012-10,1.446,
2012-11,1.439,
2012-12,1.564,
2013-01,1.548,
2013-02,1.671,
2013-03,1.499,
2013-04,1.458,
2013-05,1.314,
2013-06,1.432,
2013-07,1.378,
2013-08,1.241,
2013-09,1.503,
2013-10,1.305,
2013-11,1.164,
2013-12,1.184,
2014-01,0.986,
2014-02,1.168,
2014-03,1.235,
2014-04,1.184,
2014-05,1.193,
2014-06,1.263,
2014-07,1.205,
2014-08,1.200,
2014-09,1.275,
2014-10,1.264,
2014-11,1.188,
2014-12,1.204,
