"",BBK01.OEYB20U,BBK01.OEYB20U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:57,
2002-01,0.248,
2002-04,0.263,
2002-07,0.281,
2002-10,0.298,
2003-01,0.308,
2003-04,0.321,
2003-07,0.335,
2003-10,0.348,
2004-01,0.352,
2004-04,0.314,
2004-07,0.315,
2004-10,0.319,
2005-01,0.320,
2005-04,0.322,
2005-07,0.324,
2005-10,0.324,
2006-01,0.326,
2006-04,0.324,
2006-07,0.325,
2006-10,0.325,
2007-01,0.324,
2007-04,0.323,
2007-07,0.322,
2007-10,0.319,
2008-01,0.318,
2008-04,0.319,
2008-07,0.318,
2008-10,0.315,
2009-01,0.312,
2009-04,0.311,
2009-07,0.311,
2009-10,0.290,
2010-01,0.290,
2010-04,0.297,
2010-07,0.297,
2010-10,0.259,
2011-01,0.279,
2011-04,0.278,
2011-07,0.281,
2011-10,0.274,
2012-01,0.275,
2012-04,0.261,
2012-07,0.262,
2012-10,0.251,
2013-01,0.307,
2013-04,0.306,
2013-07,0.305,
2013-10,0.296,
2014-01,0.297,
2014-04,0.296,
2014-07,0.241,
