"",BBK01.OEAC44K,BBK01.OEAC44K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:13,
2002-01,1.190,
2002-04,1.153,
2002-07,1.184,
2002-10,1.648,
2003-01,1.741,
2003-04,1.642,
2003-07,1.595,
2003-10,1.529,
2004-01,1.214,
2004-04,1.408,
2004-07,1.319,
2004-10,1.038,
2005-01,1.062,
2005-04,1.021,
2005-07,1.001,
2005-10,0.944,
2006-01,0.839,
2006-04,0.800,
2006-07,0.789,
2006-10,0.806,
2007-01,0.776,
2007-04,0.785,
2007-07,0.801,
2007-10,0.765,
2008-01,0.751,
2008-04,0.756,
2008-07,0.736,
2008-10,0.766,
2009-01,0.798,
2009-04,0.812,
2009-07,0.730,
2009-10,0.782,
2010-01,0.781,
2010-04,0.834,
2010-07,0.851,
2010-10,0.883,
2011-01,0.934,
2011-04,0.977,
2011-07,1.006,
2011-10,1.032,
2012-01,1.035,
2012-04,1.081,
2012-07,1.081,
2012-10,1.064,
2013-01,1.054,
2013-04,1.045,
2013-07,1.150,
2013-10,1.166,
2014-01,1.159,
2014-04,1.097,
2014-07,1.185,
