"",BBK01.OECB24O,BBK01.OECB24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:07,
2002-01,0.142,
2002-04,0.161,
2002-07,0.162,
2002-10,0.166,
2003-01,0.166,
2003-04,0.170,
2003-07,0.174,
2003-10,0.177,
2004-01,0.180,
2004-04,0.185,
2004-07,0.179,
2004-10,0.189,
2005-01,0.540,
2005-04,0.528,
2005-07,0.479,
2005-10,0.476,
2006-01,0.420,
2006-04,0.406,
2006-07,0.409,
2006-10,0.408,
2007-01,0.404,
2007-04,0.403,
2007-07,0.402,
2007-10,0.408,
2008-01,0.377,
2008-04,0.315,
2008-07,0.296,
2008-10,0.293,
2009-01,0.291,
2009-04,0.299,
2009-07,0.297,
2009-10,0.225,
2010-01,0.218,
2010-04,0.209,
2010-07,0.202,
2010-10,0.207,
2011-01,0.191,
2011-04,0.187,
2011-07,0.184,
2011-10,0.177,
2012-01,0.173,
2012-04,0.168,
2012-07,0.165,
2012-10,0.158,
2013-01,0.156,
2013-04,0.151,
2013-07,0.147,
2013-10,0.137,
2014-01,0.150,
2014-04,0.142,
2014-07,0.140,
