"",BBK01.OELM01M,BBK01.OELM01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:28,
2002-01,0.301,
2002-04,0.302,
2002-07,0.298,
2002-10,0.400,
2003-01,0.286,
2003-04,0.270,
2003-07,0.269,
2003-10,0.482,
2004-01,0.295,
2004-04,0.288,
2004-07,0.278,
2004-10,0.617,
2005-01,0.298,
2005-04,0.311,
2005-07,0.313,
2005-10,0.585,
2006-01,0.366,
2006-04,0.417,
2006-07,0.374,
2006-10,0.740,
2007-01,0.370,
2007-04,0.369,
2007-07,0.383,
2007-10,0.534,
2008-01,0.391,
2008-04,0.355,
2008-07,0.389,
2008-10,0.485,
2009-01,0.424,
2009-04,0.420,
2009-07,0.513,
2009-10,0.599,
2010-01,0.430,
2010-04,0.386,
2010-07,0.405,
2010-10,0.447,
2011-01,0.352,
2011-04,0.387,
2011-07,0.369,
2011-10,0.447,
2012-01,0.382,
2012-04,0.462,
2012-07,0.493,
2012-10,0.551,
2013-01,0.561,
2013-04,0.539,
2013-07,0.513,
2013-10,0.576,
2014-01,0.618,
2014-04,0.695,
2014-07,0.775,
