"",BBK01.CEF0L0,BBK01.CEF0L0_FLAGS
"",Total liabilities  debtor: Pension funds              creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:09,
1999-01,157.0,
1999-04,159.7,
1999-07,162.8,
1999-10,166.3,
2000-01,170.5,
2000-04,173.1,
2000-07,176.0,
2000-10,177.5,
2001-01,181.5,
2001-04,183.9,
2001-07,186.8,
2001-10,184.2,
2002-01,188.2,
2002-04,190.4,
2002-07,193.1,
2002-10,192.3,
2003-01,195.9,
2003-04,198.1,
2003-07,200.5,
2003-10,206.7,
2004-01,209.8,
2004-04,211.9,
2004-07,214.0,
2004-10,221.6,
2005-01,224.9,
2005-04,227.2,
2005-07,229.6,
2005-10,241.7,
2006-01,245.4,
2006-04,249.6,
2006-07,255.8,
2006-10,261.7,
2007-01,269.3,
2007-04,274.5,
2007-07,281.8,
2007-10,292.3,
2008-01,295.7,
2008-04,299.3,
2008-07,303.1,
2008-10,306.5,
2009-01,311.1,
2009-04,316.9,
2009-07,323.0,
2009-10,329.9,
2010-01,335.2,
2010-04,341.3,
2010-07,347.1,
2010-10,355.5,
2011-01,360.2,
2011-04,364.4,
2011-07,368.5,
2011-10,375.2,
2012-01,382.0,
2012-04,386.3,
2012-07,391.0,
2012-10,402.3,
2013-01,407.8,
2013-04,412.0,
2013-07,416.2,
2013-10,425.3,
2014-01,432.3,
2014-04,437.2,
2014-07,440.8,
