"",BBFN1.M.DE.N.1.L.HK.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:39,
1994-07,0.407,
1994-08,0.482,
1994-09,0.508,
1994-10,0.497,
1994-11,0.519,
1994-12,0.545,
1995-01,0.539,
1995-02,0.489,
1995-03,0.509,
1995-04,0.409,
1995-05,0.386,
1995-06,0.396,
1995-07,0.426,
1995-08,0.438,
1995-09,0.477,
1995-10,0.460,
1995-11,0.470,
1995-12,0.497,
1996-01,0.457,
1996-02,0.429,
1996-03,0.581,
1996-04,0.597,
1996-05,0.616,
1996-06,0.659,
1996-07,0.671,
1996-08,0.688,
1996-09,0.727,
1996-10,0.719,
1996-11,0.653,
1996-12,0.743,
1997-01,0.699,
1997-02,0.685,
1997-03,0.671,
1997-04,0.651,
1997-05,0.670,
1997-06,0.777,
1997-07,0.801,
1997-08,0.794,
1997-09,0.789,
1997-10,0.746,
1997-11,0.754,
1997-12,0.747,
1998-01,0.701,
1998-02,0.666,
1998-03,0.698,
1998-04,0.731,
1998-05,0.750,
1998-06,0.707,
1998-07,0.598,
1998-08,0.713,
1998-09,0.767,
1998-10,0.740,
1998-11,0.708,
1998-12,0.722,
1999-01,0.556,
1999-02,0.494,
1999-03,0.551,
1999-04,0.533,
1999-05,0.565,
1999-06,0.667,
1999-07,0.658,
1999-08,0.676,
1999-09,0.696,
1999-10,0.742,
1999-11,0.639,
1999-12,0.682,
2000-01,0.659,
2000-02,0.635,
2000-03,0.630,
2000-04,0.710,
2000-05,0.749,
2000-06,0.869,
2000-07,0.753,
2000-08,0.685,
2000-09,0.776,
2000-10,0.823,
2000-11,0.778,
2000-12,0.901,
2001-01,0.909,
2001-02,0.938,
2001-03,0.934,
2001-04,0.912,
2001-05,0.935,
2001-06,0.982,
2001-07,0.936,
2001-08,0.894,
2001-09,0.915,
2001-10,0.810,
2001-11,0.966,
2001-12,0.942,
2002-01,0.871,
2002-02,0.859,
2002-03,0.850,
2002-04,0.784,
2002-05,0.822,
2002-06,0.913,
2002-07,0.842,
2002-08,0.802,
2002-09,0.804,
2002-10,0.812,
2002-11,0.870,
2002-12,0.988,
2003-01,0.864,
2003-02,0.814,
2003-03,0.814,
2003-04,0.845,
2003-05,0.799,
2003-06,0.826,
2003-07,0.863,
2003-08,0.923,
2003-09,0.922,
2003-10,0.833,
2003-11,0.876,
2003-12,0.888,
2004-01,0.841,
2004-02,0.792,
2004-03,0.789,
2004-04,0.830,
2004-05,0.920,
2004-06,0.901,
2004-07,0.833,
2004-08,0.828,
2004-09,0.821,
2004-10,0.663,
2004-11,0.859,
2004-12,0.880,
2005-01,0.970,
2005-02,0.915,
2005-03,0.909,
2005-04,0.963,
2005-05,1.044,
2005-06,1.094,
2005-07,1.091,
2005-08,1.010,
2005-09,1.019,
2005-10,1.025,
2005-11,0.744,
2005-12,0.881,
2006-01,0.777,
2006-02,0.840,
2006-03,0.946,
2006-04,0.940,
2006-05,1.028,
2006-06,0.879,
2006-07,0.999,
2006-08,0.951,
2006-09,0.995,
2006-10,0.981,
2006-11,1.080,
2006-12,1.146,
2007-01,1.130,
2007-02,1.064,
2007-03,0.984,
2007-04,0.973,
2007-05,1.014,
2007-06,0.970,
2007-07,0.948,
2007-08,0.932,
2007-09,0.989,
2007-10,0.942,
2007-11,0.995,
2007-12,0.987,
2008-01,0.971,
2008-02,0.932,
2008-03,0.978,
2008-04,0.948,
2008-05,1.010,
2008-06,1.055,
2008-07,1.093,
2008-08,1.101,
2008-09,1.126,
2008-10,1.095,
2008-11,1.065,
2008-12,1.049,
2009-01,1.055,
2009-02,1.073,
2009-03,1.039,
2009-04,1.021,
2009-05,0.973,
2009-06,0.995,
2009-07,1.010,
2009-08,1.028,
2009-09,0.908,
2009-10,0.988,
2009-11,1.025,
2009-12,1.010,
2010-01,1.041,
2010-02,1.076,
2010-03,1.008,
2010-04,1.026,
2010-05,1.112,
2010-06,0.904,
2010-07,0.939,
2010-08,1.037,
2010-09,0.966,
2010-10,1.083,
2010-11,1.193,
2010-12,1.261,
2011-01,1.272,
2011-02,1.276,
2011-03,1.274,
2011-04,1.276,
2011-05,1.351,
2011-06,1.188,
2011-07,1.313,
2011-08,1.463,
2011-09,1.430,
2011-10,1.363,
2011-11,1.357,
2011-12,1.347,
2012-01,1.476,
2012-02,1.456,
2012-03,1.384,
2012-04,1.320,
2012-05,1.374,
2012-06,1.336,
2012-07,1.391,
2012-08,1.443,
2012-09,1.441,
2012-10,1.364,
2012-11,1.439,
2012-12,1.527,
2013-01,1.463,
2013-02,1.554,
2013-03,1.262,
2013-04,1.261,
2013-05,1.284,
2013-06,1.326,
2013-07,1.350,
2013-08,1.465,
2013-09,1.529,
2013-10,1.438,
2013-11,1.491,
2013-12,1.464,
2014-01,1.505,
2014-02,1.495,
2014-03,1.502,
2014-04,1.464,
2014-05,1.548,
2014-06,1.660,
2014-07,1.645,
2014-08,1.752,
2014-09,1.844,
2014-10,1.838,
2014-11,1.961,
2014-12,1.894,
