"",BBK01.OELJ09N,BBK01.OELJ09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:12,
2002-01,0.158,
2002-04,0.149,
2002-07,0.157,
2002-10,0.150,
2003-01,0.092,
2003-04,0.092,
2003-07,0.101,
2003-10,0.104,
2004-01,0.108,
2004-04,0.114,
2004-07,0.138,
2004-10,0.145,
2005-01,0.138,
2005-04,0.125,
2005-07,0.107,
2005-10,0.107,
2006-01,0.101,
2006-04,0.113,
2006-07,0.116,
2006-10,0.128,
2007-01,0.129,
2007-04,0.134,
2007-07,0.121,
2007-10,0.104,
2008-01,0.111,
2008-04,0.109,
2008-07,0.102,
2008-10,0.085,
2009-01,0.135,
2009-04,0.192,
2009-07,0.223,
2009-10,0.225,
2010-01,0.206,
2010-04,0.194,
2010-07,0.204,
2010-10,0.185,
2011-01,0.207,
2011-04,0.197,
2011-07,0.166,
2011-10,0.095,
2012-01,0.119,
2012-04,0.121,
2012-07,0.126,
2012-10,0.113,
2013-01,0.129,
2013-04,0.133,
2013-07,0.132,
2013-10,0.153,
2014-01,0.156,
2014-04,0.168,
2014-07,0.169,
