"",BBK01.OEXO01T,BBK01.OEXO01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:47,
2002-01,0.725,
2002-04,0.705,
2002-07,0.684,
2002-10,0.690,
2003-01,0.699,
2003-04,0.702,
2003-07,0.677,
2003-10,0.660,
2004-01,0.667,
2004-04,0.649,
2004-07,0.632,
2004-10,0.489,
2005-01,0.494,
2005-04,0.508,
2005-07,0.486,
2005-10,0.469,
2006-01,0.479,
2006-04,0.485,
2006-07,0.482,
2006-10,0.485,
2007-01,0.504,
2007-04,0.585,
2007-07,0.609,
2007-10,0.633,
2008-01,0.701,
2008-04,0.733,
2008-07,0.740,
2008-10,0.759,
2009-01,0.895,
2009-04,0.879,
2009-07,0.843,
2009-10,0.836,
2010-01,0.775,
2010-04,0.712,
2010-07,0.692,
2010-10,0.683,
2011-01,0.762,
2011-04,0.815,
2011-07,0.814,
2011-10,0.811,
2012-01,0.803,
2012-04,0.774,
2012-07,0.764,
2012-10,0.751,
2013-01,0.705,
2013-04,0.651,
2013-07,0.616,
2013-10,0.605,
2014-01,0.597,
2014-04,0.580,
2014-07,0.569,
