"",BBK01.OEAH62H,BBK01.OEAH62H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:05,
2002-01,0.751,
2002-04,0.785,
2002-07,0.830,
2002-10,0.932,
2003-01,0.872,
2003-04,0.825,
2003-07,0.817,
2003-10,0.924,
2004-01,0.907,
2004-04,0.814,
2004-07,0.802,
2004-10,0.858,
2005-01,0.975,
2005-04,0.971,
2005-07,0.979,
2005-10,1.011,
2006-01,1.046,
2006-04,1.039,
2006-07,1.121,
2006-10,1.334,
2007-01,1.485,
2007-04,1.692,
2007-07,2.032,
2007-10,2.886,
2008-01,3.280,
2008-04,3.372,
2008-07,3.543,
2008-10,3.788,
2009-01,3.365,
2009-04,3.323,
2009-07,3.527,
2009-10,3.712,
2010-01,3.542,
2010-04,3.314,
2010-07,3.078,
2010-10,3.044,
2011-01,2.886,
2011-04,2.787,
2011-07,2.753,
2011-10,2.975,
2012-01,3.130,
2012-04,2.952,
2012-07,2.847,
2012-10,2.101,
2013-01,1.725,
2013-04,1.816,
2013-07,1.671,
2013-10,1.700,
2014-01,1.677,
2014-04,1.354,
2014-07,1.231,
