"",BBK01.OEHB05S,BBK01.OEHB05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:11,
2002-01,6.776,
2002-04,6.790,
2002-07,6.883,
2002-10,6.927,
2003-01,6.775,
2003-04,6.817,
2003-07,6.852,
2003-10,6.972,
2004-01,6.821,
2004-04,6.847,
2004-07,6.908,
2004-10,6.957,
2005-01,6.918,
2005-04,6.795,
2005-07,6.860,
2005-10,6.844,
2006-01,6.791,
2006-04,6.821,
2006-07,6.829,
2006-10,6.831,
2007-01,6.884,
2007-04,6.829,
2007-07,6.680,
2007-10,6.647,
2008-01,6.622,
2008-04,6.697,
2008-07,6.782,
2008-10,6.767,
2009-01,6.770,
2009-04,6.939,
2009-07,6.999,
2009-10,6.941,
2010-01,7.085,
2010-04,7.495,
2010-07,7.712,
2010-10,7.830,
2011-01,7.990,
2011-04,8.185,
2011-07,8.284,
2011-10,8.448,
2012-01,8.560,
2012-04,8.632,
2012-07,8.869,
2012-10,8.976,
2013-01,9.108,
2013-04,9.213,
2013-07,9.379,
2013-10,9.510,
2014-01,9.625,
2014-04,9.779,
2014-07,9.963,
