"",BBK01.OELI08O,BBK01.OELI08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:13,
2002-01,10.509,
2002-04,10.515,
2002-07,10.507,
2002-10,10.708,
2003-01,10.821,
2003-04,10.823,
2003-07,10.751,
2003-10,10.996,
2004-01,11.009,
2004-04,11.036,
2004-07,11.002,
2004-10,11.158,
2005-01,11.011,
2005-04,10.872,
2005-07,10.696,
2005-10,10.699,
2006-01,10.450,
2006-04,10.383,
2006-07,10.221,
2006-10,10.155,
2007-01,9.796,
2007-04,9.533,
2007-07,9.003,
2007-10,8.502,
2008-01,8.239,
2008-04,8.068,
2008-07,7.851,
2008-10,7.799,
2009-01,7.901,
2009-04,8.041,
2009-07,8.270,
2009-10,8.661,
2010-01,8.957,
2010-04,9.137,
2010-07,9.282,
2010-10,9.492,
2011-01,9.612,
2011-04,9.739,
2011-07,9.740,
2011-10,10.088,
2012-01,9.909,
2012-04,9.815,
2012-07,9.660,
2012-10,9.533,
2013-01,9.188,
2013-04,9.095,
2013-07,9.081,
2013-10,9.170,
2014-01,9.392,
2014-04,9.331,
2014-07,9.237,
