"",BBFN1.M.DE.N.1.A.NO.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NO.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:49,
1982-09,0.063,
1982-10,0.064,
1982-11,0.064,
1982-12,0.070,
1983-01,0.075,
1983-02,0.074,
1983-03,0.073,
1983-04,0.073,
1983-05,0.073,
1983-06,0.072,
1983-07,0.072,
1983-08,0.072,
1983-09,0.073,
1983-10,0.073,
1983-11,0.074,
1983-12,0.084,
1984-01,0.085,
1984-02,0.084,
1984-03,0.083,
1984-04,0.090,
1984-05,0.090,
1984-06,0.091,
1984-07,0.092,
1984-08,0.094,
1984-09,0.095,
1984-10,0.095,
1984-11,0.098,
1984-12,0.097,
1985-01,0.098,
1985-02,0.098,
1985-03,0.095,
1985-04,0.095,
1985-05,0.095,
1985-06,0.094,
1985-07,0.094,
1985-08,0.094,
1985-09,0.094,
1985-10,0.094,
1985-11,0.094,
1985-12,0.095,
1986-01,0.096,
1986-02,0.096,
1986-03,0.087,
1986-04,0.087,
1986-05,0.087,
1986-06,0.087,
1986-07,0.089,
1986-08,0.094,
1986-09,0.094,
1986-10,0.094,
1986-11,0.094,
1986-12,0.093,
1987-01,0.077,
1987-02,0.073,
1987-03,0.070,
1987-04,0.067,
1987-05,0.067,
1987-06,0.067,
1987-07,0.067,
1987-08,0.112,
1987-09,0.117,
1987-10,0.116,
1987-11,0.125,
1987-12,0.142,
1988-01,0.144,
1988-02,0.146,
1988-03,0.146,
1988-04,0.151,
1988-05,0.155,
1988-06,0.162,
1988-07,0.150,
1988-08,0.157,
1988-09,0.163,
1988-10,0.165,
1988-11,0.159,
1988-12,0.133,
1989-01,0.133,
1989-02,0.135,
1989-03,0.131,
1989-04,0.121,
1989-05,0.121,
1989-06,0.123,
1989-07,0.124,
1989-08,0.125,
1989-09,0.127,
1989-10,0.128,
1989-11,0.128,
1989-12,0.131,
1990-01,0.132,
1990-02,0.133,
1990-03,0.128,
1990-04,0.130,
1990-05,0.133,
1990-06,0.133,
1990-07,0.133,
1990-08,0.132,
1990-09,0.131,
1990-10,0.131,
1990-11,0.132,
1990-12,0.251,
1991-01,0.279,
1991-02,0.282,
1991-03,0.276,
1991-04,0.274,
1991-05,0.275,
1991-06,0.277,
1991-07,0.278,
1991-08,0.279,
1991-09,0.277,
1991-10,0.279,
1991-11,0.281,
1991-12,0.285,
1992-01,0.287,
1992-02,0.288,
1992-03,0.282,
1992-04,0.283,
1992-05,0.285,
1992-06,0.283,
1992-07,0.287,
1992-08,0.287,
1992-09,0.288,
1992-10,0.289,
1992-11,0.283,
1992-12,0.278,
1993-01,0.276,
1993-02,0.281,
1993-03,0.276,
1993-04,0.277,
1993-05,0.278,
1993-06,0.278,
1993-07,0.279,
1993-08,0.279,
1993-09,0.280,
1993-10,0.281,
1993-11,0.282,
1993-12,0.265,
1994-01,0.267,
1994-02,0.268,
1994-03,0.262,
1994-04,0.263,
1994-05,0.267,
1994-06,0.266,
1994-07,0.268,
1994-08,0.269,
1994-09,0.276,
1994-10,0.275,
1994-11,0.276,
1994-12,0.251,
1995-01,0.248,
1995-02,0.249,
1995-03,0.245,
1995-04,0.245,
1995-05,0.245,
1995-06,0.236,
1995-07,0.237,
1995-08,0.239,
1995-09,0.239,
1995-10,0.240,
1995-11,0.241,
1995-12,0.216,
1996-01,0.229,
1996-02,0.232,
1996-03,0.205,
1996-04,0.190,
1996-05,0.190,
1996-06,0.212,
1996-07,0.212,
1996-08,0.212,
1996-09,0.187,
1996-10,0.187,
1996-11,0.187,
1996-12,0.163,
1997-01,0.163,
1997-02,0.163,
1997-03,0.161,
1997-04,0.162,
1997-05,0.164,
1997-06,0.160,
1997-07,0.156,
1997-08,0.159,
1997-09,0.160,
1997-10,0.159,
1997-11,0.159,
1997-12,0.146,
1998-01,0.146,
1998-02,0.149,
1998-03,0.149,
1998-04,0.145,
1998-05,0.149,
1998-06,0.143,
1998-07,0.144,
1998-08,0.144,
1998-09,0.034,
1998-10,0.022,
1998-11,0.056,
1998-12,0.048,
1999-01,0.047,
1999-02,0.048,
1999-03,0.048,
1999-04,0.048,
1999-05,0.048,
1999-06,0.041,
1999-07,0.841,
1999-08,0.848,
1999-09,1.181,
1999-10,0.082,
1999-11,0.084,
1999-12,0.078,
2000-01,0.067,
2000-02,0.069,
2000-03,0.069,
2000-04,0.069,
2000-05,0.070,
2000-06,0.063,
2000-07,0.060,
2000-08,0.061,
2000-09,0.061,
2000-10,0.055,
2000-11,0.047,
2000-12,0.036,
2001-01,0.035,
2001-02,0.035,
2001-03,0.029,
2001-04,0.030,
2001-05,0.183,
2001-06,0.181,
2001-07,0.181,
2001-08,0.181,
2001-09,0.181,
2001-10,0.182,
2001-11,0.182,
2001-12,0.176,
2002-01,0.175,
2002-02,0.198,
2002-03,0.174,
2002-04,0.183,
2002-05,0.183,
2002-06,0.164,
2002-07,0.162,
2002-08,0.165,
2002-09,0.163,
2002-10,0.142,
2002-11,0.145,
2002-12,0.131,
2003-01,0.131,
2003-02,0.132,
2003-03,0.132,
2003-04,0.153,
2003-05,0.153,
2003-06,0.138,
2003-07,0.137,
2003-08,0.137,
2003-09,0.137,
2003-10,0.137,
2003-11,0.137,
2003-12,0.144,
2004-01,0.145,
2004-02,0.165,
2004-03,0.186,
2004-04,0.186,
2004-05,0.192,
2004-06,0.188,
2004-07,0.233,
2004-08,0.243,
2004-09,0.252,
2004-10,0.252,
2004-11,0.253,
2004-12,0.256,
2005-01,0.272,
2005-02,0.268,
2005-03,0.268,
2005-04,0.271,
2005-05,0.269,
2005-06,0.270,
2005-07,0.270,
2005-08,0.269,
2005-09,0.269,
2005-10,0.269,
2005-11,0.270,
2005-12,0.294,
2006-01,0.295,
2006-02,0.302,
2006-03,0.292,
2006-04,0.268,
2006-05,0.303,
2006-06,0.293,
2006-07,0.336,
2006-08,0.366,
2006-09,0.396,
2006-10,0.475,
2006-11,0.476,
2006-12,0.510,
2007-01,0.578,
2007-02,0.648,
2007-03,0.689,
2007-04,0.723,
2007-05,0.735,
2007-06,0.845,
2007-07,0.889,
2007-08,0.928,
2007-09,0.935,
2007-10,0.965,
2007-11,0.977,
2007-12,1.045,
2008-01,1.132,
2008-02,1.247,
2008-03,1.292,
2008-04,1.616,
2008-05,1.986,
2008-06,2.085,
2008-07,2.168,
2008-08,2.283,
2008-09,2.522,
2008-10,2.565,
2008-11,2.563,
2008-12,2.559,
2009-01,2.718,
2009-02,2.717,
2009-03,2.705,
2009-04,3.486,
2009-05,3.515,
2009-06,3.910,
2009-07,4.091,
2009-08,4.206,
2009-09,4.253,
2009-10,4.242,
2009-11,4.300,
2009-12,4.607,
2010-01,4.779,
2010-02,4.929,
2010-03,5.363,
2010-04,5.440,
2010-05,5.505,
2010-06,5.652,
2010-07,5.765,
2010-08,5.808,
2010-09,5.893,
2010-10,6.033,
2010-11,6.247,
2010-12,6.288,
2011-01,6.814,
2011-02,6.842,
2011-03,6.963,
2011-04,6.557,
2011-05,7.152,
2011-06,7.192,
2011-07,7.611,
2011-08,7.621,
2011-09,7.662,
2011-10,7.723,
2011-11,7.739,
2011-12,7.746,
2012-01,7.752,
2012-02,7.823,
2012-03,8.031,
2012-04,8.066,
2012-05,8.058,
2012-06,8.125,
2012-07,8.293,
2012-08,8.765,
2012-09,8.759,
2012-10,8.792,
2012-11,8.810,
2012-12,8.741,
2013-01,8.893,
2013-02,9.103,
2013-03,9.159,
2013-04,9.265,
2013-05,9.284,
2013-06,8.971,
2013-07,8.951,
2013-08,9.217,
2013-09,9.387,
2013-10,9.618,
2013-11,9.769,
2013-12,9.581,
2014-01,9.649,
2014-02,9.770,
2014-03,9.818,
2014-04,9.926,
2014-05,9.998,
2014-06,10.104,
2014-07,10.120,
2014-08,10.258,
2014-09,10.182,
2014-10,10.178,
2014-11,10.263,
2014-12,10.118,
