"",BBK01.WXI098,BBK01.WXI098_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:54,
2009-09,4228,
2009-10,4367,
2009-11,4414,
2009-12,4684,
2010-01,4494,
2010-02,4583,
2010-03,3442,
2010-04,4089,
2010-05,5081,
2010-06,4052,
2010-07,4396,
2010-08,4249,
2010-09,4395,
2010-10,4578,
2010-11,4598,
2010-12,5130,
2011-01,5266,
2011-02,5551,
2011-03,5325,
2011-04,5229,
2011-05,5281,
2011-06,5141,
2011-07,5092,
2011-08,4129,
2011-09,4075,
2011-10,4289,
2011-11,4263,
2011-12,4309,
2012-01,4749,
2012-02,4983,
2012-03,5045,
2012-04,4973,
2012-05,4498,
2012-06,4615,
2012-07,4653,
2012-08,4755,
2012-09,4943,
2012-10,5344,
2012-11,5614,
2012-12,5827,
2013-01,6380,
2013-02,6994,
2013-03,7299,
2013-04,7541,
2013-05,7297,
2013-06,7118,
2013-07,7804,
2013-08,7519,
2013-09,7831,
2013-10,8448,
2013-11,8683,
2013-12,8537,
2014-01,8346,
2014-02,8561,
2014-03,8464,
2014-04,8416,
2014-05,8751,
2014-06,9520,
2014-07,9361,
2014-08,9617,
2014-09,9911,
2014-10,10890,
2014-11,11218,
