"",BBK01.OEAJ07M,BBK01.OEAJ07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:38,
2002-01,0.373,
2002-04,0.378,
2002-07,0.367,
2002-10,0.442,
2003-01,0.448,
2003-04,0.447,
2003-07,0.422,
2003-10,0.397,
2004-01,0.411,
2004-04,0.390,
2004-07,0.401,
2004-10,0.402,
2005-01,0.414,
2005-04,0.424,
2005-07,0.414,
2005-10,0.417,
2006-01,0.411,
2006-04,0.403,
2006-07,0.408,
2006-10,0.385,
2007-01,0.380,
2007-04,0.378,
2007-07,0.374,
2007-10,0.396,
2008-01,0.379,
2008-04,0.364,
2008-07,0.360,
2008-10,0.362,
2009-01,0.392,
2009-04,0.422,
2009-07,0.388,
2009-10,0.381,
2010-01,0.399,
2010-04,0.392,
2010-07,0.407,
2010-10,0.426,
2011-01,0.431,
2011-04,0.439,
2011-07,0.439,
2011-10,0.431,
2012-01,0.426,
2012-04,0.421,
2012-07,0.433,
2012-10,0.429,
2013-01,0.441,
2013-04,0.470,
2013-07,0.471,
2013-10,0.478,
2014-01,0.487,
2014-04,0.499,
2014-07,0.499,
