"",BBK01.OEAF08S,BBK01.OEAF08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:51,
2002-01,0.072,
2002-04,0.068,
2002-07,0.071,
2002-10,0.071,
2003-01,0.068,
2003-04,0.072,
2003-07,0.074,
2003-10,0.082,
2004-01,0.076,
2004-04,0.078,
2004-07,0.079,
2004-10,0.068,
2005-01,0.064,
2005-04,0.067,
2005-07,0.070,
2005-10,0.067,
2006-01,0.067,
2006-04,0.066,
2006-07,0.070,
2006-10,0.064,
2007-01,0.074,
2007-04,0.074,
2007-07,0.074,
2007-10,0.069,
2008-01,0.070,
2008-04,0.071,
2008-07,0.067,
2008-10,0.068,
2009-01,0.067,
2009-04,0.066,
2009-07,0.065,
2009-10,0.065,
2010-01,0.063,
2010-04,0.065,
2010-07,0.069,
2010-10,0.067,
2011-01,0.069,
2011-04,0.070,
2011-07,0.075,
2011-10,0.079,
2012-01,0.079,
2012-04,0.080,
2012-07,0.074,
2012-10,0.073,
2013-01,0.072,
2013-04,0.078,
2013-07,0.079,
2013-10,0.080,
2014-01,0.082,
2014-04,0.088,
2014-07,0.093,
