"",BBDA1.M.DE.N.IM.S.A.R1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.R1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Belgo-Luxembourg Economic Union / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:06,
1990-07,1493678,
1990-08,1524758,
1990-09,1714276,
1990-10,2129808,
1990-11,2123132,
1990-12,1777896,
1991-01,2128463,
1991-02,1826073,
1991-03,2077092,
1991-04,2153682,
1991-05,2126440,
1991-06,2046719,
1991-07,2025876,
1991-08,1499560,
1991-09,1851556,
1991-10,2057891,
1991-11,1935508,
1991-12,1734599,
1992-01,1899876,
1992-02,1925907,
1992-03,2179421,
1992-04,2182021,
1992-05,1874752,
1992-06,1866030,
1992-07,1966114,
1992-08,1442281,
1992-09,1856161,
1992-10,2030731,
1992-11,1904652,
1992-12,1789912,
1993-01,1258413,
1993-02,1375631,
1993-03,1568292,
1993-04,1824137,
1993-05,1560709,
1993-06,1563517,
1993-07,1371837,
1993-08,1327503,
1993-09,1517691,
1993-10,1359483,
1993-11,1284748,
1993-12,1377167,
1994-01,1237929,
1994-02,1374081,
1994-03,1857249,
1994-04,1806087,
1994-05,1706987,
1994-06,1636847,
1994-07,1569264,
1994-08,1448485,
1994-09,1697780,
1994-10,1737610,
1994-11,1554821,
1994-12,1826746,
1995-01,1636166,
1995-02,1874025,
1995-03,2224214,
1995-04,1889823,
1995-05,1951697,
1995-06,2055974,
1995-07,1638411,
1995-08,1667934,
1995-09,1867188,
1995-10,1806070,
1995-11,1911317,
1995-12,1956356,
1996-01,1914450,
1996-02,1719990,
1996-03,2056501,
1996-04,1865780,
1996-05,1774805,
1996-06,1889007,
1996-07,1846923,
1996-08,1449480,
1996-09,1915111,
1996-10,2248004,
1996-11,1876533,
1996-12,1892137,
1997-01,1706138,
1997-02,1951448,
1997-03,2009276,
1997-04,1908226,
1997-05,2087084,
1997-06,2330200,
1997-07,1981213,
1997-08,1823798,
1997-09,2039571,
1997-10,2319237,
1997-11,2007203,
1997-12,2082454,
1998-01,1975945,
1998-02,1884064,
1998-03,1797908,
1998-04,2123519,
1998-05,2025476,
1998-06,2131751,
1998-07,1929217,
1998-08,1721004,
1998-09,1972654,
1998-10,2114785,
1998-11,2133087,
1998-12,1933540,
1999-01,1538523,
1999-02,1730555,
1999-03,1960735,
1999-04,2008760,
1999-05,1937881,
1999-06,2073057,
1999-07,1663453,
1999-08,1944373,
1999-09,1848840,
1999-10,2127652,
1999-11,2041112,
1999-12,2004656,
2000-01,1925325,
2000-02,2016298,
2000-03,2248603,
2000-04,1951097,
2000-05,2365783,
2000-06,2123092,
2000-07,2246474,
2000-08,2057046,
2000-09,2030025,
2000-10,2390940,
2000-11,2542672,
2000-12,2332299,
2001-01,2372658,
2001-02,2452978,
2001-03,2547910,
2001-04,2422910,
2001-05,2383833,
2001-06,2483780,
2001-07,2395950,
2001-08,2176930,
2001-09,2296323,
2001-10,2614240,
2001-11,2265781,
