"",BBK01.OEAA47M,BBK01.OEAA47M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:57,
2002-01,24.121,
2002-04,19.249,
2002-07,19.279,
2002-10,19.409,
2003-01,19.681,
2003-04,28.195,
2003-07,28.521,
2003-10,29.217,
2004-01,28.836,
2004-04,27.889,
2004-07,27.598,
2004-10,27.631,
2005-01,28.599,
2005-04,29.174,
2005-07,29.835,
2005-10,27.661,
2006-01,29.201,
2006-04,29.028,
2006-07,22.077,
2006-10,21.661,
2007-01,22.384,
2007-04,22.308,
2007-07,22.335,
2007-10,22.212,
2008-01,21.271,
2008-04,21.357,
2008-07,20.825,
2008-10,20.403,
2009-01,20.466,
2009-04,21.055,
2009-07,21.784,
2009-10,21.723,
2010-01,21.117,
2010-04,20.908,
2010-07,21.518,
2010-10,21.880,
2011-01,22.281,
2011-04,22.880,
2011-07,23.709,
2011-10,23.263,
2012-01,22.084,
2012-04,22.520,
2012-07,22.332,
2012-10,22.160,
2013-01,22.498,
2013-04,22.887,
2013-07,22.017,
2013-10,21.775,
2014-01,21.607,
2014-04,21.373,
2014-07,20.881,
