"",BBK01.OEBB21R,BBK01.OEBB21R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:32,
2002-01,0.842,
2002-04,0.857,
2002-07,0.872,
2002-10,0.908,
2003-01,0.900,
2003-04,0.903,
2003-07,0.904,
2003-10,0.943,
2004-01,0.955,
2004-04,0.967,
2004-07,0.965,
2004-10,0.949,
2005-01,1.082,
2005-04,1.054,
2005-07,1.049,
2005-10,0.995,
2006-01,0.976,
2006-04,0.955,
2006-07,0.993,
2006-10,0.960,
2007-01,0.996,
2007-04,0.936,
2007-07,0.928,
2007-10,0.887,
2008-01,0.931,
2008-04,1.006,
2008-07,1.009,
2008-10,0.794,
2009-01,0.760,
2009-04,0.732,
2009-07,0.737,
2009-10,0.667,
2010-01,0.807,
2010-04,0.814,
2010-07,0.843,
2010-10,0.899,
2011-01,0.902,
2011-04,0.905,
2011-07,0.907,
2011-10,0.916,
2012-01,0.912,
2012-04,0.921,
2012-07,0.926,
2012-10,0.958,
2013-01,0.949,
2013-04,0.996,
2013-07,1.128,
2013-10,1.180,
2014-01,1.198,
2014-04,1.185,
2014-07,1.210,
