"",BBK01.OEAJ02Q,BBK01.OEAJ02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:08,
2002-01,3.162,
2002-04,3.273,
2002-07,3.354,
2002-10,4.574,
2003-01,3.598,
2003-04,4.406,
2003-07,6.202,
2003-10,5.412,
2004-01,5.605,
2004-04,3.692,
2004-07,3.828,
2004-10,4.054,
2005-01,5.901,
2005-04,5.443,
2005-07,6.270,
2005-10,5.911,
2006-01,5.362,
2006-04,5.690,
2006-07,6.021,
2006-10,5.865,
2007-01,5.361,
2007-04,6.023,
2007-07,5.773,
2007-10,5.414,
2008-01,5.480,
2008-04,5.337,
2008-07,5.337,
2008-10,5.845,
2009-01,6.933,
2009-04,5.677,
2009-07,7.850,
2009-10,7.978,
2010-01,8.974,
2010-04,7.494,
2010-07,7.029,
2010-10,6.098,
2011-01,7.094,
2011-04,6.955,
2011-07,6.882,
2011-10,7.110,
2012-01,6.828,
2012-04,7.061,
2012-07,7.294,
2012-10,8.440,
2013-01,8.430,
2013-04,9.125,
2013-07,9.488,
2013-10,10.226,
2014-01,11.031,
2014-04,11.375,
2014-07,11.426,
