"",BBK01.OEAE05L,BBK01.OEAE05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:05,
2002-01,3.101,
2002-04,3.039,
2002-07,3.000,
2002-10,2.894,
2003-01,2.957,
2003-04,2.892,
2003-07,2.836,
2003-10,2.690,
2004-01,2.664,
2004-04,2.599,
2004-07,2.506,
2004-10,2.361,
2005-01,2.322,
2005-04,2.314,
2005-07,2.261,
2005-10,2.206,
2006-01,2.184,
2006-04,2.117,
2006-07,2.104,
2006-10,2.052,
2007-01,2.031,
2007-04,2.120,
2007-07,2.101,
2007-10,2.099,
2008-01,2.078,
2008-04,2.070,
2008-07,2.055,
2008-10,2.051,
2009-01,2.056,
2009-04,2.031,
2009-07,1.978,
2009-10,1.972,
2010-01,1.941,
2010-04,1.902,
2010-07,1.951,
2010-10,1.910,
2011-01,1.903,
2011-04,1.871,
2011-07,1.836,
2011-10,1.757,
2012-01,1.794,
2012-04,1.737,
2012-07,1.742,
2012-10,1.698,
2013-01,1.675,
2013-04,1.640,
2013-07,1.636,
2013-10,1.581,
2014-01,1.561,
2014-04,1.779,
2014-07,1.676,
