"",BBSF2.M.1.S.00000.GEF01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:06,
2004-01,172,
2004-02,172,
2004-03,172,
2004-04,173,
2004-05,175,
2004-06,196,
2004-07,219,
2004-08,263,
2004-09,268,
2004-10,268,
2004-11,279,
2004-12,291,
2005-01,322,
2005-02,366,
2005-03,413,
2005-04,429,
2005-05,475,
2005-06,550,
2005-07,809,
2005-08,875,
2005-09,956,
2005-10,1164,
2005-11,1220,
2005-12,1449,
2006-01,1576,
2006-02,1754,
2006-03,1882,
2006-04,2116,
2006-05,2279,
2006-06,2445,
2006-07,2562,
2006-08,2813,
2006-09,3383,
2006-10,3569,
2006-11,3509,
2006-12,3924,
2007-01,4298,
2007-02,4177,
2007-03,3799,
2007-04,3890,
2007-05,4151,
2007-06,4137,
2007-07,4399,
2007-08,3961,
2007-09,4045,
2007-10,6437,
2007-11,6120,
2007-12,5910,
2008-01,5344,
2008-02,5436,
2008-03,5300,
2008-04,5761,
2008-05,6061,
2008-06,5750,
2008-07,5887,
2008-08,5868,
2008-09,5497,
2008-10,4873,
2008-11,5045,
2008-12,4924,
2009-01,5346,
2009-02,5600,
2009-03,5553,
2009-04,6027,
2009-05,8287,
2009-06,8561,
2009-07,9072,
2009-08,8663,
2009-09,10702,
2009-10,11503,
2009-11,11875,
2009-12,14023,
2010-01,14206,
2010-02,14409,
2010-03,15300,
2010-04,15775,
2010-05,16203,
2010-06,16711,
2010-07,17355,
2010-08,17805,
2010-09,18879,
2010-10,20093,
2010-11,21145,
2010-12,20722,
2011-01,20678,
2011-02,20553,
2011-03,20255,
2011-04,20773,
2011-05,21326,
2011-06,20968,
2011-07,21132,
2011-08,19249,
2011-09,18862,
2011-10,18331,
2011-11,18236,
2011-12,18405,
2012-01,19393,
2012-02,26454,
2012-03,25824,
2012-04,25913,
2012-05,25939,
2012-06,27444,
2012-07,28517,
2012-08,29022,
2012-09,29638,
2012-10,30316,
2012-11,30813,
2012-12,33625,
2013-01,34372,
2013-02,35204,
2013-03,36361,
2013-04,37464,
2013-05,35809,
2013-06,33392,
2013-07,37159,
2013-08,36352,
2013-09,37994,
2013-10,39637,
2013-11,38978,
2013-12,38819,
2014-01,39121,
2014-02,40499,
2014-03,40189,
2014-04,41076,
2014-05,42315,
2014-06,42969,
2014-07,43804,
2014-08,39108,
2014-09,38424,
2014-10,40560,
2014-11,42179,
