"",BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.L,BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.L_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:40:06,
1950-01,0.22,
1950-02,0.24,
1950-03,0.30,
1950-04,0.28,
1950-05,0.30,
1950-06,0.33,
1950-07,0.37,
1950-08,0.38,
1950-09,0.36,
1950-10,0.46,
1950-11,0.50,
1950-12,0.52,
1951-01,0.47,
1951-02,0.50,
1951-03,0.56,
1951-04,0.59,
1951-05,0.59,
1951-06,0.64,
1951-07,0.69,
1951-08,0.67,
1951-09,0.70,
1951-10,0.64,
1951-11,0.60,
1951-12,0.81,
1952-01,0.67,
1952-02,0.65,
1952-03,0.71,
1952-04,0.67,
1952-05,0.72,
1952-06,0.71,
1952-07,0.76,
1952-08,0.69,
1952-09,0.73,
1952-10,0.75,
1952-11,0.70,
1952-12,0.89,
1953-01,0.64,
1953-02,0.63,
1953-03,0.76,
1953-04,0.78,
1953-05,0.73,
1953-06,0.80,
1953-07,0.80,
1953-08,0.77,
1953-09,0.77,
1953-10,0.88,
1953-11,0.84,
1953-12,1.07,
1954-01,0.77,
1954-02,0.77,
1954-03,0.99,
1954-04,0.85,
1954-05,0.93,
1954-06,0.87,
1954-07,0.98,
1954-08,0.94,
1954-09,0.94,
1954-10,1.01,
1954-11,1.04,
1954-12,1.18,
1955-01,0.91,
1955-02,0.98,
1955-03,1.14,
1955-04,1.03,
1955-05,1.10,
1955-06,1.03,
1955-07,1.10,
1955-08,1.02,
1955-09,1.08,
1955-10,1.19,
1955-11,1.18,
1955-12,1.39,
1956-01,1.09,
1956-02,1.04,
1956-03,1.20,
1956-04,1.38,
1956-05,1.28,
1956-06,1.41,
1956-07,1.32,
1956-08,1.25,
1956-09,1.34,
1956-10,1.47,
1956-11,1.44,
1956-12,1.55,
1957-01,1.25,
1957-02,1.39,
1957-03,1.65,
1957-04,1.43,
1957-05,1.64,
1957-06,1.46,
1957-07,1.56,
1957-08,1.58,
1957-09,1.47,
1957-10,1.67,
1957-11,1.63,
1957-12,1.67,
1958-01,1.33,
1958-02,1.51,
1958-03,1.57,
1958-04,1.53,
1958-05,1.54,
1958-06,1.51,
1958-07,1.62,
1958-08,1.50,
1958-09,1.66,
1958-10,1.72,
1958-11,1.65,
1958-12,1.77,
1959-01,1.42,
1959-02,1.58,
1959-03,1.56,
1959-04,1.69,
1959-05,1.73,
1959-06,1.72,
1959-07,1.73,
1959-08,1.71,
1959-09,1.83,
1959-10,1.95,
1959-11,1.94,
1959-12,2.19,
1960-01,1.73,
1960-02,1.87,
1960-03,2.23,
1960-04,1.91,
1960-05,2.03,
1960-06,1.94,
1960-07,2.09,
1960-08,1.83,
1960-09,1.99,
1960-10,2.14,
1960-11,2.17,
1960-12,2.58,
1961-01,1.99,
1961-02,2.07,
1961-03,2.20,
1961-04,2.23,
1961-05,2.06,
1961-06,2.26,
1961-07,2.16,
1961-08,2.08,
1961-09,2.20,
1961-10,2.23,
1961-11,2.17,
1961-12,2.42,
1962-01,1.96,
1962-02,2.08,
1962-03,2.43,
1962-04,2.17,
1962-05,2.39,
1962-06,2.20,
1962-07,2.29,
1962-08,2.13,
1962-09,2.23,
1962-10,2.42,
1962-11,2.35,
1962-12,2.45,
1963-01,1.97,
