"",BBK01.OELB02N,BBK01.OELB02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:17,
2002-01,11.741,
2002-04,11.841,
2002-07,11.969,
2002-10,12.072,
2003-01,11.799,
2003-04,11.814,
2003-07,11.677,
2003-10,11.645,
2004-01,11.766,
2004-04,11.597,
2004-07,11.067,
2004-10,10.726,
2005-01,10.680,
2005-04,10.437,
2005-07,10.173,
2005-10,9.590,
2006-01,9.608,
2006-04,9.346,
2006-07,9.513,
2006-10,9.181,
2007-01,9.143,
2007-04,9.174,
2007-07,8.952,
2007-10,8.957,
2008-01,8.962,
2008-04,8.850,
2008-07,9.205,
2008-10,8.562,
2009-01,8.365,
2009-04,8.220,
2009-07,8.111,
2009-10,7.840,
2010-01,7.902,
2010-04,7.805,
2010-07,7.581,
2010-10,7.138,
2011-01,7.072,
2011-04,7.328,
2011-07,7.168,
2011-10,7.038,
2012-01,7.122,
2012-04,7.118,
2012-07,7.157,
2012-10,7.202,
2013-01,7.363,
2013-04,7.239,
2013-07,7.157,
2013-10,6.937,
2014-01,6.966,
2014-04,6.958,
2014-07,7.015,
