"",BBK01.OEHB04M,BBK01.OEHB04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:56,
2002-01,49.261,
2002-04,49.657,
2002-07,50.052,
2002-10,50.473,
2003-01,52.195,
2003-04,52.557,
2003-07,53.160,
2003-10,53.752,
2004-01,53.653,
2004-04,53.903,
2004-07,54.108,
2004-10,54.208,
2005-01,53.018,
2005-04,53.306,
2005-07,53.384,
2005-10,53.720,
2006-01,53.503,
2006-04,53.620,
2006-07,53.750,
2006-10,53.807,
2007-01,53.464,
2007-04,53.309,
2007-07,53.286,
2007-10,53.284,
2008-01,53.124,
2008-04,53.389,
2008-07,53.712,
2008-10,53.853,
2009-01,53.706,
2009-04,54.018,
2009-07,54.487,
2009-10,54.859,
2010-01,54.633,
2010-04,55.157,
2010-07,55.484,
2010-10,56.045,
2011-01,56.038,
2011-04,56.437,
2011-07,56.815,
2011-10,57.114,
2012-01,56.986,
2012-04,57.296,
2012-07,57.641,
2012-10,57.986,
2013-01,57.995,
2013-04,58.238,
2013-07,58.899,
2013-10,59.187,
2014-01,59.168,
2014-04,59.421,
2014-07,59.775,
