"",BBK01.WU080U,BBK01.WU080U_FLAGS
"","ECB-REPORT, QUOTED SHARES Total outstanding amount Shares in circulation at market values (market capitalisation) / Total",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-09 06:40:08,
1999-01,1328740,
1999-02,1310622,
1999-03,1342549,
1999-04,1349022,
1999-05,1220510,
1999-06,1289764,
1999-07,1301120,
1999-08,1134974,
1999-09,1158874,
1999-10,1247434,
1999-11,1379641,
1999-12,1603304,
2000-01,1558632,
2000-02,1614378,
2000-03,1658783,
2000-04,1655860,
2000-05,1578389,
2000-06,1535288,
2000-07,1583003,
2000-08,1573880,
2000-09,1475165,
2000-10,1454536,
2000-11,1377434,
2000-12,1353000,
2001-01,1456269,
2001-02,1326055,
2001-03,1243817,
2001-04,1319228,
2001-05,1292542,
2001-06,1243125,
2001-07,1310318,
2001-08,1201584,
2001-09,1039389,
2001-10,1098692,
2001-11,1181709,
2001-12,1205613,
2002-01,1205517,
2002-02,1196650,
2002-03,1255955,
2002-04,1196300,
2002-05,1180826,
2002-06,1121857,
2002-07,1023177,
2002-08,829212,
2002-09,677298,
2002-10,725865,
2002-11,747909,
2002-12,647492,
2003-01,618806,
2003-02,616015,
2003-03,589484,
2003-04,687348,
2003-05,688666,
2003-06,739025,
2003-07,759462,
2003-08,775402,
2003-09,746482,
2003-10,803272,
2003-11,817059,
2003-12,851001,
2004-01,883353,
2004-02,879521,
2004-03,850562,
2004-04,866566,
2004-05,841734,
2004-06,873884,
2004-07,831751,
2004-08,812941,
2004-09,833812,
2004-10,837257,
2004-11,868529,
2004-12,887217,
2005-01,894366,
2005-02,921002,
2005-03,923089,
2005-04,879633,
2005-05,916865,
2005-06,943114,
2005-07,964930,
2005-08,957320,
2005-09,999658,
2005-10,973005,
2005-11,1018763,
2005-12,1058532,
2006-01,1110806,
2006-02,1107262,
2006-03,1182724,
2006-04,1197094,
2006-05,1140152,
2006-06,1121571,
2006-07,1115885,
2006-08,1139273,
2006-09,1174223,
2006-10,1222893,
2006-11,1238339,
2006-12,1279638,
2007-01,1337960,
2007-02,1318019,
2007-03,1367286,
2007-04,1435794,
2007-05,1547655,
2007-06,1494788,
2007-07,1452848,
2007-08,1423385,
2007-09,1463189,
2007-10,1512062,
2007-11,1466556,
2007-12,1481930,
2008-01,1280897,
2008-02,1382483,
2008-03,1256583,
2008-04,1302582,
2008-05,1308146,
2008-06,1195093,
2008-07,1207195,
2008-08,1177852,
2008-09,1070775,
2008-10,901251,
2008-11,810124,
2008-12,830622,
2009-01,757894,
2009-02,660435,
2009-03,697247,
2009-04,801441,
2009-05,807298,
2009-06,802202,
2009-07,869712,
2009-08,871600,
2009-09,903456,
2009-10,878206,
2009-11,885394,
2009-12,927256,
2010-01,887966,
2010-02,879672,
2010-03,968958,
2010-04,970369,
2010-05,927684,
2010-06,931277,
2010-07,944596,
2010-08,913265,
2010-09,970047,
2010-10,1035244,
2010-11,1104788,
2010-12,1091220,
2011-01,1109831,
2011-02,1129599,
2011-03,1108591,
2011-04,1162665,
2011-05,1133630,
2011-06,1137397,
2011-07,1101653,
2011-08,919444,
2011-09,873180,
2011-10,975868,
2011-11,942940,
2011-12,924214,
2012-01,1012812,
2012-02,1070023,
2012-03,1075219,
2012-04,1053431,
2012-05,971168,
2012-06,969686,
2012-07,1033905,
2012-08,1048119,
2012-09,1076643,
2012-10,1105328,
2012-11,1125392,
2012-12,1150188,
2013-01,1183779,
2013-02,1181378,
2013-03,1185828,
2013-04,1200874,
2013-05,1247031,
2013-06,1202614,
2013-07,1242630,
2013-08,1237272,
2013-09,1291028,
2013-10,1358708,
2013-11,1410435,
2013-12,1432658,
2014-01,1382182,
2014-02,1439031,
2014-03,1435810,
2014-04,1428621,
2014-05,1455934,
2014-06,1445714,
2014-07,1409428,
2014-08,1389822,
2014-09,1401240,
2014-10,1389691,
2014-11,1483086,
2014-12,1478063,
