"",BBSF2.M.1.S.00000.GEF01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.GEF01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Mixed funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:02,
2009-09,14458,
2009-10,14180,
2009-11,13086,
2009-12,11142,
2010-01,11870,
2010-02,12058,
2010-03,9382,
2010-04,9778,
2010-05,11010,
2010-06,9748,
2010-07,10328,
2010-08,10044,
2010-09,10309,
2010-10,9728,
2010-11,9213,
2010-12,8440,
2011-01,9388,
2011-02,8761,
2011-03,8910,
2011-04,8878,
2011-05,8630,
2011-06,9304,
2011-07,10509,
2011-08,12064,
2011-09,13008,
2011-10,11981,
2011-11,12251,
2011-12,11003,
2012-01,11236,
2012-02,9936,
2012-03,9958,
2012-04,10655,
2012-05,10610,
2012-06,10534,
2012-07,10885,
2012-08,11082,
2012-09,11260,
2012-10,10634,
2012-11,11362,
2012-12,11031,
2013-01,11771,
2013-02,10520,
2013-03,9707,
2013-04,9621,
2013-05,9116,
2013-06,11534,
2013-07,10662,
2013-08,10054,
2013-09,10169,
2013-10,11227,
2013-11,9081,
2013-12,9716,
2014-01,10404,
2014-02,10052,
2014-03,9912,
2014-04,10452,
2014-05,10762,
2014-06,10917,
2014-07,10603,
2014-08,9094,
2014-09,8634,
2014-10,9324,
2014-11,8991,
