"",BBK01.OEHK06U,BBK01.OEHK06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:01,
2002-01,0.045,
2002-04,0.046,
2002-07,0.047,
2002-10,0.050,
2003-01,0.049,
2003-04,0.048,
2003-07,0.046,
2003-10,0.047,
2004-01,0.046,
2004-04,0.046,
2004-07,0.044,
2004-10,0.045,
2005-01,0.044,
2005-04,0.041,
2005-07,0.040,
2005-10,0.040,
2006-01,0.042,
2006-04,0.042,
2006-07,0.046,
2006-10,0.049,
2007-01,0.055,
2007-04,0.059,
2007-07,0.063,
2007-10,0.067,
2008-01,0.069,
2008-04,0.073,
2008-07,0.080,
2008-10,0.093,
2009-01,0.082,
2009-04,0.080,
2009-07,0.068,
2009-10,0.055,
2010-01,0.053,
2010-04,0.050,
2010-07,0.048,
2010-10,0.052,
2011-01,0.051,
2011-04,0.054,
2011-07,0.055,
2011-10,0.060,
2012-01,0.057,
2012-04,0.049,
2012-07,0.047,
2012-10,0.046,
2013-01,0.041,
2013-04,0.039,
2013-07,0.036,
2013-10,0.034,
2014-01,0.033,
2014-04,0.032,
2014-07,0.030,
