"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.PT.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.PT.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Portugal,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:00,
2009-09,270,
2009-10,292,
2009-11,302,
2009-12,319,
2010-01,273,
2010-02,269,
2010-03,306,
2010-04,269,
2010-05,308,
2010-06,319,
2010-07,277,
2010-08,258,
2010-09,265,
2010-10,293,
2010-11,271,
2010-12,299,
2011-01,325,
2011-02,315,
2011-03,302,
2011-04,295,
2011-05,314,
2011-06,321,
2011-07,329,
2011-08,303,
2011-09,303,
2011-10,306,
2011-11,261,
2011-12,265,
2012-01,266,
2012-02,268,
2012-03,256,
2012-04,235,
2012-05,197,
2012-06,204,
2012-07,225,
2012-08,235,
2012-09,227,
2012-10,166,
2012-11,162,
2012-12,181,
2013-01,196,
2013-02,179,
2013-03,180,
2013-04,201,
2013-05,198,
2013-06,182,
2013-07,187,
2013-08,181,
2013-09,199,
2013-10,197,
2013-11,198,
2013-12,219,
2014-01,226,
2014-02,253,
2014-03,262,
2014-04,256,
2014-05,219,
2014-06,215,
2014-07,221,
2014-08,209,
2014-09,206,
2014-10,191,
2014-11,186,
