"",BBFN1.M.DE.N.1.L.O1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.O1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:25,
1995-01,0.097,
1995-02,0.106,
1995-03,0.098,
1995-04,0.074,
1995-05,0.077,
1995-06,0.074,
1995-07,0.084,
1995-08,0.087,
1995-09,0.099,
1995-10,0.099,
1995-11,0.093,
1995-12,0.113,
1996-01,0.102,
1996-02,0.122,
1996-03,0.120,
1996-04,0.105,
1996-05,0.107,
1996-06,0.105,
1996-07,0.099,
1996-08,0.116,
1996-09,0.114,
1996-10,0.115,
1996-11,0.129,
1996-12,0.153,
1997-01,0.122,
1997-02,0.133,
1997-03,0.154,
1997-04,0.139,
1997-05,0.138,
1997-06,0.144,
1997-07,0.117,
1997-08,0.127,
1997-09,0.126,
1997-10,0.125,
1997-11,0.133,
1997-12,0.151,
1998-01,0.131,
1998-02,0.123,
1998-03,0.137,
1998-04,0.157,
1998-05,0.143,
1998-06,0.160,
1998-07,0.161,
1998-08,0.159,
1998-09,0.152,
1998-10,0.146,
1998-11,0.161,
1998-12,0.151,
1999-01,0.128,
1999-02,0.127,
1999-03,0.163,
1999-04,0.151,
1999-05,0.172,
1999-06,0.168,
1999-07,0.160,
1999-08,0.169,
1999-09,0.147,
1999-10,0.153,
1999-11,0.150,
1999-12,0.176,
2000-01,0.176,
2000-02,0.162,
2000-03,0.149,
2000-04,0.174,
2000-05,0.175,
2000-06,0.166,
2000-07,0.167,
2000-08,0.265,
2000-09,0.312,
2000-10,0.338,
2000-11,0.369,
2000-12,0.298,
2001-01,0.288,
2001-02,0.310,
2001-03,0.262,
2001-04,0.257,
2001-05,0.276,
2001-06,0.252,
2001-07,0.271,
2001-08,0.290,
2001-09,0.263,
2001-10,0.299,
2001-11,0.272,
2001-12,0.330,
2002-01,0.273,
2002-02,0.252,
2002-03,0.264,
2002-04,0.249,
2002-05,0.264,
2002-06,0.263,
2002-07,0.267,
2002-08,0.264,
2002-09,0.278,
2002-10,0.306,
2002-11,0.297,
2002-12,0.335,
2003-01,0.298,
2003-02,0.308,
2003-03,0.298,
2003-04,0.301,
2003-05,0.287,
2003-06,0.288,
2003-07,0.328,
2003-08,0.320,
2003-09,0.159,
2003-10,0.206,
2003-11,0.224,
2003-12,0.275,
2004-01,0.251,
2004-02,0.218,
2004-03,0.211,
2004-04,0.240,
2004-05,0.232,
2004-06,0.240,
2004-07,0.234,
2004-08,0.204,
2004-09,0.198,
2004-10,0.202,
2004-11,0.251,
2004-12,0.351,
2005-01,0.262,
2005-02,0.209,
2005-03,0.211,
2005-04,0.192,
2005-05,0.189,
2005-06,0.193,
2005-07,0.187,
2005-08,0.227,
2005-09,0.212,
2005-10,0.222,
2005-11,0.245,
2005-12,0.335,
2006-01,0.292,
2006-02,0.305,
2006-03,0.246,
2006-04,0.260,
2006-05,0.295,
2006-06,0.289,
2006-07,0.265,
2006-08,0.258,
2006-09,0.261,
2006-10,0.293,
2006-11,0.288,
2006-12,0.318,
2007-01,0.238,
2007-02,0.198,
2007-03,0.225,
2007-04,0.229,
2007-05,0.238,
2007-06,0.251,
2007-07,0.232,
2007-08,0.222,
2007-09,0.271,
2007-10,0.229,
2007-11,0.244,
2007-12,0.348,
2008-01,0.349,
2008-02,0.286,
2008-03,0.266,
2008-04,0.321,
2008-05,0.336,
2008-06,0.291,
2008-07,0.269,
2008-08,0.242,
2008-09,0.202,
2008-10,0.205,
2008-11,0.172,
2008-12,0.268,
2009-01,0.236,
2009-02,0.242,
2009-03,0.246,
2009-04,0.233,
2009-05,0.185,
2009-06,0.231,
2009-07,0.208,
2009-08,0.234,
2009-09,0.297,
2009-10,0.293,
2009-11,0.286,
2009-12,0.287,
2010-01,0.200,
2010-02,0.254,
2010-03,0.279,
2010-04,0.237,
2010-05,0.391,
2010-06,0.379,
2010-07,0.328,
2010-08,0.312,
2010-09,0.301,
2010-10,0.272,
2010-11,0.264,
2010-12,0.337,
2011-01,0.182,
2011-02,0.212,
2011-03,0.372,
2011-04,0.254,
2011-05,0.290,
2011-06,0.244,
2011-07,0.226,
2011-08,0.214,
2011-09,0.272,
2011-10,0.253,
2011-11,0.237,
2011-12,0.295,
2012-01,0.218,
2012-02,0.243,
2012-03,0.309,
2012-04,0.288,
2012-05,0.235,
2012-06,0.369,
2012-07,0.325,
2012-08,0.291,
2012-09,0.298,
2012-10,0.254,
2012-11,0.264,
2012-12,0.308,
2013-01,0.313,
2013-02,0.231,
2013-03,0.276,
2013-04,0.329,
2013-05,0.229,
2013-06,0.320,
2013-07,0.264,
2013-08,0.257,
2013-09,0.287,
2013-10,0.291,
2013-11,0.304,
2013-12,0.308,
2014-01,0.295,
2014-02,0.231,
2014-03,0.289,
2014-04,0.263,
2014-05,0.222,
2014-06,0.278,
2014-07,0.285,
2014-08,0.255,
2014-09,0.387,
2014-10,0.313,
2014-11,0.335,
2014-12,0.549,
