"",BBK01.WXI016,BBK01.WXI016_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:22,
2009-09,4,
2009-10,7,
2009-11,5,
2009-12,8,
2010-01,5,
2010-02,3,
2010-03,3,
2010-04,11,
2010-05,5,
2010-06,5,
2010-07,8,
2010-08,7,
2010-09,5,
2010-10,7,
2010-11,5,
2010-12,4,
2011-01,6,
2011-02,4,
2011-03,5,
2011-04,5,
2011-05,8,
2011-06,5,
2011-07,9,
2011-08,7,
2011-09,16,
2011-10,6,
2011-11,7,
2011-12,17,
2012-01,6,
2012-02,7,
2012-03,11,
2012-04,7,
2012-05,11,
2012-06,6,
2012-07,5,
2012-08,7,
2012-09,6,
2012-10,16,
2012-11,6,
2012-12,6,
2013-01,11,
2013-02,31,
2013-03,21,
2013-04,14,
2013-05,11,
2013-06,15,
2013-07,19,
2013-08,14,
2013-09,14,
2013-10,19,
2013-11,12,
2013-12,6,
2014-01,7,
2014-02,25,
2014-03,17,
2014-04,20,
2014-05,15,
2014-06,12,
2014-07,5,
2014-08,7,
2014-09,11,
2014-10,5,
2014-11,9,
