"",BBFN1.M.DE.N.1.L.QA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.QA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Qatar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:20,
1994-07,0.014,
1994-08,0.034,
1994-09,0.041,
1994-10,0.043,
1994-11,0.043,
1994-12,0.038,
1995-01,0.038,
1995-02,0.047,
1995-03,0.062,
1995-04,0.061,
1995-05,0.075,
1995-06,0.087,
1995-07,0.092,
1995-08,0.096,
1995-09,0.092,
1995-10,0.103,
1995-11,0.090,
1995-12,0.189,
1996-01,0.186,
1996-02,0.170,
1996-03,0.168,
1996-04,0.188,
1996-05,0.189,
1996-06,0.154,
1996-07,0.164,
1996-08,0.165,
1996-09,0.153,
1996-10,0.173,
1996-11,0.171,
1996-12,0.127,
1997-01,0.154,
1997-02,0.151,
1997-03,0.146,
1997-04,0.140,
1997-05,0.140,
1997-06,0.064,
1997-07,0.068,
1997-08,0.061,
1997-09,0.064,
1997-10,0.067,
1997-11,0.066,
1997-12,0.062,
1998-01,0.061,
1998-02,0.062,
1998-03,0.063,
1998-04,0.064,
1998-05,0.065,
1998-06,0.062,
1998-07,0.070,
1998-08,0.051,
1998-09,0.051,
1998-10,0.051,
1998-11,0.051,
1998-12,0.074,
1999-01,0.074,
1999-02,0.082,
1999-03,0.084,
1999-04,0.075,
1999-05,0.087,
1999-06,0.088,
1999-07,0.102,
1999-08,0.098,
1999-09,0.119,
1999-10,0.114,
1999-11,0.155,
1999-12,0.168,
2000-01,0.166,
2000-02,0.183,
2000-03,0.186,
2000-04,0.187,
2000-05,0.233,
2000-06,0.233,
2000-07,0.238,
2000-08,0.242,
2000-09,0.227,
2000-10,0.228,
2000-11,0.225,
2000-12,0.223,
2001-01,0.222,
2001-02,0.225,
2001-03,0.252,
2001-04,0.253,
2001-05,0.243,
2001-06,0.250,
2001-07,0.251,
2001-08,0.133,
2001-09,0.147,
2001-10,0.168,
2001-11,0.169,
2001-12,0.171,
2002-01,0.169,
2002-02,0.172,
2002-03,0.177,
2002-04,0.191,
2002-05,0.199,
2002-06,0.208,
2002-07,0.227,
2002-08,0.241,
2002-09,0.244,
2002-10,0.248,
2002-11,0.275,
2002-12,0.283,
2003-01,0.297,
2003-02,0.281,
2003-03,0.277,
2003-04,0.276,
2003-05,0.268,
2003-06,0.282,
2003-07,0.304,
2003-08,0.344,
2003-09,0.346,
2003-10,0.355,
2003-11,0.229,
2003-12,0.229,
2004-01,0.228,
2004-02,0.224,
2004-03,0.221,
2004-04,0.217,
2004-05,0.214,
2004-06,0.213,
2004-07,0.213,
2004-08,0.210,
2004-09,0.214,
2004-10,0.213,
2004-11,0.220,
2004-12,0.242,
2005-01,0.040,
2005-02,0.075,
2005-03,0.081,
2005-04,0.091,
2005-05,0.097,
2005-06,0.100,
2005-07,0.099,
2005-08,0.110,
2005-09,0.104,
2005-10,0.112,
2005-11,0.145,
2005-12,0.212,
2006-01,0.236,
2006-02,0.272,
2006-03,0.291,
2006-04,0.320,
2006-05,0.341,
2006-06,0.360,
2006-07,0.133,
2006-08,0.186,
2006-09,0.199,
2006-10,0.221,
2006-11,0.267,
2006-12,0.330,
2007-01,0.342,
2007-02,0.370,
2007-03,0.417,
2007-04,0.453,
2007-05,0.516,
2007-06,0.473,
2007-07,0.524,
2007-08,0.561,
2007-09,0.653,
2007-10,0.739,
2007-11,0.811,
2007-12,0.887,
2008-01,0.900,
2008-02,0.912,
2008-03,0.955,
2008-04,1.004,
2008-05,1.077,
2008-06,1.111,
2008-07,1.214,
2008-08,1.275,
2008-09,1.339,
2008-10,1.296,
2008-11,1.215,
2008-12,1.249,
2009-01,1.299,
2009-02,1.277,
2009-03,1.205,
2009-04,1.201,
2009-05,1.248,
2009-06,1.271,
2009-07,1.350,
2009-08,1.182,
2009-09,1.204,
2009-10,1.244,
2009-11,1.242,
2009-12,1.272,
2010-01,1.275,
2010-02,1.291,
2010-03,1.299,
2010-04,1.317,
2010-05,1.315,
2010-06,1.447,
2010-07,1.171,
2010-08,1.198,
2010-09,1.207,
2010-10,1.237,
2010-11,1.242,
2010-12,1.290,
2011-01,1.305,
2011-02,1.352,
2011-03,1.394,
2011-04,1.384,
2011-05,1.405,
2011-06,1.425,
2011-07,1.434,
2011-08,1.465,
2011-09,1.440,
2011-10,1.439,
2011-11,1.357,
2011-12,1.325,
2012-01,1.318,
2012-02,1.326,
2012-03,0.507,
2012-04,0.545,
2012-05,0.585,
2012-06,0.616,
2012-07,0.619,
2012-08,0.625,
2012-09,0.644,
2012-10,0.705,
2012-11,0.714,
2012-12,0.696,
2013-01,0.722,
2013-02,0.724,
2013-03,0.740,
2013-04,1.120,
2013-05,1.124,
2013-06,1.140,
2013-07,0.956,
2013-08,1.093,
2013-09,0.984,
2013-10,0.976,
2013-11,1.015,
2013-12,1.036,
2014-01,1.062,
2014-02,1.067,
2014-03,1.049,
2014-04,1.087,
2014-05,1.095,
2014-06,1.059,
2014-07,0.943,
2014-08,1.087,
2014-09,1.102,
2014-10,1.141,
2014-11,1.136,
2014-12,1.125,
