"",BBK01.OEBB21P,BBK01.OEBB21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:09,
2002-01,0.016,
2002-04,0.017,
2002-07,0.017,
2002-10,0.017,
2003-01,0.016,
2003-04,0.016,
2003-07,0.016,
2003-10,0.014,
2004-01,0.014,
2004-04,0.013,
2004-07,0.013,
2004-10,0.017,
2005-01,0.094,
2005-04,0.110,
2005-07,0.109,
2005-10,0.098,
2006-01,0.079,
2006-04,0.080,
2006-07,0.087,
2006-10,0.116,
2007-01,0.139,
2007-04,0.136,
2007-07,0.133,
2007-10,0.191,
2008-01,0.194,
2008-04,0.138,
2008-07,0.124,
2008-10,0.128,
2009-01,0.129,
2009-04,0.129,
2009-07,0.133,
2009-10,0.195,
2010-01,0.193,
2010-04,0.225,
2010-07,0.223,
2010-10,0.337,
2011-01,0.265,
2011-04,0.248,
2011-07,0.245,
2011-10,0.244,
2012-01,0.229,
2012-04,0.276,
2012-07,0.273,
2012-10,0.198,
2013-01,0.202,
2013-04,0.216,
2013-07,0.285,
2013-10,0.318,
2014-01,0.348,
2014-04,0.346,
2014-07,0.312,
