"",BBSF2.M.1.T.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Bonds funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:22,
2009-09,4277590,
2009-10,4242077,
2009-11,4311894,
2009-12,4403598,
2010-01,4473454,
2010-02,4507971,
2010-03,4537348,
2010-04,4579309,
2010-05,4596932,
2010-06,4601920,
2010-07,4607561,
2010-08,4695734,
2010-09,4757126,
2010-10,4779398,
2010-11,4806497,
2010-12,4817992,
2011-01,4843483,
2011-02,4932795,
2011-03,4927458,
2011-04,4873446,
2011-05,4841786,
2011-06,4852138,
2011-07,4887223,
2011-08,4886871,
2011-09,4895221,
2011-10,4917081,
2011-11,4917024,
2011-12,4997618,
2012-01,5042930,
2012-02,5064720,
2012-03,5109167,
2012-04,5115425,
2012-05,5134934,
2012-06,5170302,
2012-07,5202586,
2012-08,5234847,
2012-09,5239833,
2012-10,5265149,
2012-11,5290629,
2012-12,5356423,
2013-01,5394174,
2013-02,5402492,
2013-03,5415260,
2013-04,5429951,
2013-05,5435827,
2013-06,5424235,
2013-07,5440044,
2013-08,5441973,
2013-09,5448359,
2013-10,5471272,
2013-11,5546310,
2013-12,5588555,
2014-01,5634038,
2014-02,5683195,
2014-03,5748929,
2014-04,5674697,
2014-05,5685085,
2014-06,5699613,
2014-07,5715794,
2014-08,5752551,
2014-09,5775102,
2014-10,5838500,
2014-11,5877764,
