"",BBK01.QUY583,BBK01.QUY583_FLAGS
"","Consolidated German banks: Loans and advances to foreign enterprises and households / China, Taiwan / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:37:50,
2002-03,0.642,
2002-04,0.578,
2002-05,0.534,
2002-06,0.482,
2002-07,0.492,
2002-08,0.480,
2002-09,0.474,
2002-10,0.452,
2002-11,0.630,
2002-12,0.603,
2003-01,0.567,
2003-02,0.545,
2003-03,0.544,
2003-04,0.532,
2003-05,0.468,
2003-06,0.505,
2003-07,0.511,
2003-08,0.525,
2003-09,0.500,
2003-10,0.520,
2003-11,0.504,
2003-12,0.495,
2004-01,0.514,
2004-02,0.542,
2004-03,0.553,
2004-04,0.615,
2004-05,0.591,
2004-06,0.606,
2004-07,0.694,
2004-08,0.493,
2004-09,0.449,
2004-10,0.414,
2004-11,0.471,
2004-12,0.478,
2005-01,0.417,
2005-02,0.430,
2005-03,0.429,
2005-04,0.406,
2005-05,0.455,
2005-06,0.477,
2005-07,0.485,
2005-08,0.501,
2005-09,0.479,
2005-10,0.427,
2005-11,0.443,
2005-12,0.436,
2006-01,0.423,
2006-02,0.482,
2006-03,0.561,
2006-04,0.595,
2006-05,0.598,
2006-06,0.599,
2006-07,0.688,
2006-08,0.668,
2006-09,0.629,
2006-10,0.607,
2006-11,0.601,
2006-12,0.524,
2007-01,0.540,
2007-02,0.402,
2007-03,0.432,
2007-04,0.450,
2007-05,0.480,
2007-06,0.497,
2007-07,0.549,
2007-08,0.493,
2007-09,0.534,
2007-10,0.519,
2007-11,0.451,
2007-12,0.409,
2008-01,0.396,
2008-02,0.395,
2008-03,0.411,
2008-04,0.415,
2008-05,0.476,
2008-06,0.417,
2008-07,0.514,
2008-08,0.544,
2008-09,0.550,
2008-10,0.610,
2008-11,0.596,
2008-12,0.454,
2009-01,0.568,
2009-02,0.552,
2009-03,0.531,
2009-04,0.472,
2009-05,0.427,
2009-06,0.497,
2009-07,0.452,
2009-08,0.466,
2009-09,0.466,
2009-10,0.418,
2009-11,0.419,
2009-12,0.462,
2010-01,0.556,
2010-02,0.506,
2010-03,0.490,
2010-04,0.544,
2010-05,0.450,
2010-06,0.390,
2010-07,0.368,
2010-08,0.306,
2010-09,0.296,
2010-10,0.445,
2010-11,0.459,
2010-12,0.435,
2011-01,0.493,
2011-02,0.577,
2011-03,0.598,
2011-04,0.575,
2011-05,0.593,
2011-06,0.716,
2011-07,0.777,
2011-08,0.774,
2011-09,0.831,
2011-10,0.747,
2011-11,0.805,
2011-12,0.832,
2012-01,0.655,
2012-02,0.533,
2012-03,0.507,
2012-04,0.529,
2012-05,0.572,
2012-06,0.561,
2012-07,0.682,
2012-08,0.582,
2012-09,0.541,
2012-10,0.517,
2012-11,0.608,
2012-12,0.543,
2013-01,0.567,
2013-02,0.733,
2013-03,0.729,
2013-04,0.623,
2013-05,0.559,
2013-06,0.850,
2013-07,0.887,
2013-08,0.868,
2013-09,0.794,
2013-10,0.774,
2013-11,1.001,
2013-12,0.853,
2014-01,0.774,
2014-02,0.838,
2014-03,0.821,
2014-04,0.891,
2014-05,0.813,
2014-06,0.863,
2014-07,0.940,
2014-08,0.980,
2014-09,1.021,
2014-10,0.999,
