"",BBK01.PQ1501,BBK01.PQ1501_FLAGS
"","Lending to wholesale and retail trade, repair of motor vehicles, motorcycles and personal and household goods / Regional institutions of credit cooperatives",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:31:43,
1968-10,1.017,
1969-01,0.981,
1969-04,0.949,
1969-07,1.110,
1969-10,1.280,
1970-01,1.189,
1970-04,1.051,
1970-07,1.190,
1970-10,1.139,
1971-01,1.052,
1971-04,1.033,
1971-07,1.226,
1971-10,1.198,
1972-01,1.097,
1972-04,0.994,
1972-07,1.164,
1972-10,1.289,
1973-01,1.232,
1973-04,1.172,
1973-07,1.151,
1973-10,1.468,
1974-01,1.413,
1974-04,1.322,
1974-07,1.528,
1974-10,1.436,
1975-01,1.371,
1975-04,1.256,
1975-07,1.376,
1975-10,1.398,
1976-01,1.293,
1976-04,1.279,
1976-07,1.570,
1976-10,1.515,
1977-01,1.458,
1977-04,1.390,
1977-07,1.538,
1977-10,1.508,
1978-01,1.469,
1978-04,1.431,
1978-07,1.742,
1978-10,1.919,
1979-01,1.865,
1979-04,1.847,
1979-07,1.931,
1979-10,2.021,
1980-01,1.742,
1980-04,1.769,
1980-07,1.828,
1980-10,2.117,
1981-01,1.837,
1981-04,1.694,
1981-07,1.921,
1981-10,1.858,
1982-01,1.677,
1982-04,1.643,
1982-07,2.004,
1982-10,2.019,
1983-01,1.833,
1983-04,1.843,
1983-07,2.328,
1983-10,2.232,
1984-01,1.972,
1984-04,1.892,
1984-07,2.179,
1984-10,2.245,
1985-01,2.166,
1985-04,2.096,
1985-07,2.311,
1985-10,2.419,
1986-01,2.487,
1986-04,2.462,
1986-07,2.523,
1986-10,2.736,
1987-01,2.578,
1987-04,2.506,
1987-07,2.693,
1987-10,2.965,
1988-01,2.725,
1988-04,2.466,
1988-07,2.487,
1988-10,2.778,
1989-01,2.539,
1989-04,2.386,
1989-07,2.553,
1989-10,2.538,
1990-01,2.574,
1990-04,3.483,
1990-07,3.247,
1990-10,3.480,
1991-01,3.282,
1991-04,3.222,
1991-07,3.210,
1991-10,3.015,
1992-01,3.087,
1992-04,2.960,
1992-07,2.576,
1992-10,2.961,
1993-01,2.776,
1993-04,2.812,
1993-07,3.005,
1993-10,3.586,
1994-01,2.793,
1994-04,2.879,
1994-07,2.810,
1994-10,3.099,
1995-01,3.074,
1995-04,3.092,
1995-07,3.281,
1995-10,3.287,
1996-01,3.177,
1996-04,3.035,
1996-07,3.667,
1996-10,4.179,
1997-01,3.696,
1997-04,3.637,
1997-07,3.983,
1997-10,4.496,
1998-01,4.123,
1998-04,3.739,
1998-07,4.036,
1998-10,4.822,
1999-01,4.038,
1999-04,4.334,
1999-07,4.415,
1999-10,4.165,
2000-01,4.384,
2000-04,4.356,
2000-07,4.936,
2000-10,4.416,
2001-01,4.401,
2001-04,4.074,
2001-07,3.862,
2001-10,3.701,
2002-01,3.871,
2002-04,3.334,
2002-07,3.222,
2002-10,2.886,
2003-01,3.223,
2003-04,2.945,
2003-07,2.686,
2003-10,2.585,
2004-01,2.662,
2004-04,2.390,
2004-07,2.707,
2004-10,2.518,
2005-01,2.604,
2005-04,2.365,
2005-07,2.479,
2005-10,2.215,
2006-01,2.228,
2006-04,2.046,
2006-07,2.045,
2006-10,2.188,
2007-01,1.918,
2007-04,1.931,
2007-07,2.172,
2007-10,2.353,
2008-01,2.052,
2008-04,2.156,
2008-07,2.442,
2008-10,2.532,
2009-01,2.416,
2009-04,2.174,
2009-07,2.333,
2009-10,2.109,
2010-01,2.072,
2010-04,2.097,
2010-07,2.188,
2010-10,2.158,
2011-01,2.192,
2011-04,2.140,
2011-07,2.442,
2011-10,2.133,
2012-01,2.184,
2012-04,2.175,
2012-07,2.538,
2012-10,2.279,
2013-01,2.434,
2013-04,2.148,
2013-07,2.345,
2013-10,2.187,
2014-01,2.173,
2014-04,2.133,
2014-07,2.541,
2014-10,2.247,
