"",BBK01.OEYB04T,BBK01.OEYB04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:40,
2002-01,2.572,
2002-04,2.570,
2002-07,2.522,
2002-10,2.640,
2003-01,3.621,
2003-04,3.555,
2003-07,3.634,
2003-10,3.421,
2004-01,3.771,
2004-04,3.772,
2004-07,3.451,
2004-10,3.381,
2005-01,3.371,
2005-04,3.357,
2005-07,3.368,
2005-10,3.391,
2006-01,3.425,
2006-04,3.511,
2006-07,3.558,
2006-10,3.603,
2007-01,3.598,
2007-04,3.235,
2007-07,3.322,
2007-10,3.276,
2008-01,3.343,
2008-04,3.371,
2008-07,3.663,
2008-10,3.852,
2009-01,3.794,
2009-04,3.995,
2009-07,4.081,
2009-10,4.129,
2010-01,4.122,
2010-04,4.143,
2010-07,4.134,
2010-10,4.145,
2011-01,4.103,
2011-04,4.261,
2011-07,4.373,
2011-10,4.399,
2012-01,4.753,
2012-04,4.666,
2012-07,4.690,
2012-10,4.820,
2013-01,4.684,
2013-04,4.774,
2013-07,4.689,
2013-10,4.745,
2014-01,4.990,
2014-04,5.174,
2014-07,5.140,
