"",BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:19,
1991-01,104.857,
1991-04,154.141,
1991-07,218.605,
1991-10,142.891,
1992-01,150.691,
1992-04,144.505,
1992-07,304.563,
1992-10,172.149,
1993-01,154.775,
1993-04,183.990,
1993-07,149.924,
1993-10,157.564,
1994-01,222.450,
1994-04,202.071,
1994-07,153.195,
1994-10,179.890,
1995-01,179.573,
1995-04,68.644,
1995-07,78.009,
1995-10,1050.119,
1996-01,624.669,
1996-04,504.492,
1996-07,1652.133,
1996-10,215.196,
1997-01,176.777,
1997-04,147.236,
1997-07,454.726,
1997-10,1047.785,
1998-01,-158.740,
1998-04,191.478,
1998-07,1652.524,
1998-10,275.265,
1999-01,357.892,
1999-04,697.704,
1999-07,732.923,
1999-10,175.203,
2000-01,1539.961,
2000-04,544.266,
2000-07,744.798,
2000-10,9319.932,
2001-01,-1147.145,
2001-04,210.151,
2001-07,1407.822,
2001-10,-789.782,
2002-01,272.582,
2002-04,410.891,
2002-07,-179.422,
2002-10,-30.250,
2003-01,-219.306,
2003-04,244.469,
2003-07,-803.553,
2003-10,-42.341,
2004-01,1023.957,
2004-04,361.806,
2004-07,99.338,
2004-10,905.170,
2005-01,643.847,
2005-04,3488.405,
2005-07,958.621,
2005-10,1184.158,
2006-01,1908.992,
2006-04,2358.318,
2006-07,1240.720,
2006-10,2643.188,
2007-01,-11126.195,
2007-04,1157.834,
2007-07,504.977,
2007-10,1180.889,
2008-01,851.176,
2008-04,-156.688,
2008-07,1015.303,
2008-10,-360.404,
2009-01,641.270,
2009-04,-99.627,
2009-07,214.546,
2009-10,-351.437,
2010-01,1192.144,
2010-04,5743.131,
2010-07,-5101.794,
2010-10,193.696,
2011-01,4975.719,
2011-04,1325.461,
2011-07,838.380,
2011-10,-61.465,
2012-01,1114.472,
2012-04,1342.165,
2012-07,1160.855,
2012-10,1500.465,
2013-01,1460.549,
2013-04,413.536,
2013-07,1330.228,
2013-10,224.056,
2014-01,1687.507,Provisional value
2014-04,330.643,Provisional value
2014-07,1994.162,Provisional value
2014-10,797.881,Provisional value
