"",BBK01.OEYM05I,BBK01.OEYM05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:56,
2002-01,6.444,
2002-04,6.462,
2002-07,6.479,
2002-10,6.424,
2003-01,6.431,
2003-04,6.482,
2003-07,6.555,
2003-10,6.453,
2004-01,6.424,
2004-04,6.484,
2004-07,6.327,
2004-10,6.342,
2005-01,6.237,
2005-04,6.270,
2005-07,6.178,
2005-10,6.234,
2006-01,6.175,
2006-04,6.211,
2006-07,6.238,
2006-10,6.156,
2007-01,5.955,
2007-04,5.965,
2007-07,5.960,
2007-10,5.810,
2008-01,5.768,
2008-04,5.763,
2008-07,5.687,
2008-10,5.685,
2009-01,5.562,
2009-04,5.455,
2009-07,5.407,
2009-10,5.390,
2010-01,5.398,
2010-04,5.370,
2010-07,5.294,
2010-10,5.267,
2011-01,5.272,
2011-04,5.264,
2011-07,5.171,
2011-10,5.161,
2012-01,5.075,
2012-04,4.941,
2012-07,4.906,
2012-10,4.848,
2013-01,4.752,
2013-04,4.756,
2013-07,4.721,
2013-10,4.631,
2014-01,4.525,
2014-04,4.573,
2014-07,4.481,
