"",BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:01,
1991-01,50.371,
1991-04,30.725,
1991-07,217.639,
1991-10,250.850,
1992-01,389.159,
1992-04,171.055,
1992-07,-38.459,
1992-10,106.551,
1993-01,43.401,
1993-04,24.968,
1993-07,50.604,
1993-10,395.833,
1994-01,200.262,
1994-04,-42.238,
1994-07,-6.493,
1994-10,175.418,
1995-01,72.737,
1995-04,12.513,
1995-07,-97.791,
1995-10,382.533,
1996-01,-34.831,
1996-04,-113.439,
1996-07,154.286,
1996-10,352.669,
1997-01,-188.086,
1997-04,341.387,
1997-07,178.424,
1997-10,192.495,
1998-01,184.692,
1998-04,-139.751,
1998-07,94.015,
1998-10,11.016,
1999-01,147.047,
1999-04,77.269,
1999-07,90.579,
1999-10,193.234,
2000-01,-92.346,
2000-04,-34.740,
2000-07,576.751,
2000-10,355.300,
2001-01,-60.999,
2001-04,410.392,
2001-07,500.846,
2001-10,-52.220,
2002-01,-8.567,
2002-04,299.998,
2002-07,-68.066,
2002-10,-115.015,
2003-01,-288.491,
2003-04,338.012,
2003-07,-62.143,
2003-10,145.519,
2004-01,-181.968,
2004-04,57.392,
2004-07,-233.123,
2004-10,29.046,
2005-01,-177.235,
2005-04,-435.060,
2005-07,36.216,
2005-10,35.876,
2006-01,23.280,
2006-04,-796.976,
2006-07,-329.878,
2006-10,-189.856,
2007-01,172.182,
2007-04,743.884,
2007-07,729.700,
2007-10,-440.191,
2008-01,112.143,
2008-04,138.709,
2008-07,-273.259,
2008-10,262.379,
2009-01,-207.791,
2009-04,-283.675,
2009-07,608.455,
2009-10,336.986,
2010-01,135.496,
2010-04,595.738,
2010-07,-203.292,
2010-10,-77.625,
2011-01,-197.938,
2011-04,-137.474,
2011-07,-24.314,
2011-10,68.957,
2012-01,-166.155,
2012-04,-357.773,
2012-07,-110.346,
2012-10,210.122,
2013-01,-22.056,
2013-04,-128.465,
2013-07,-116.534,
2013-10,-390.056,
2014-01,-75.281,Provisional value
2014-04,-19.316,Provisional value
2014-07,54.872,Provisional value
2014-10,378.278,Provisional value
