"",BBK01.OELI05O,BBK01.OELI05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:53,
2002-01,1.300,
2002-04,1.312,
2002-07,1.315,
2002-10,1.306,
2003-01,1.307,
2003-04,1.323,
2003-07,1.324,
2003-10,1.325,
2004-01,1.337,
2004-04,1.320,
2004-07,1.324,
2004-10,1.356,
2005-01,1.384,
2005-04,1.420,
2005-07,1.360,
2005-10,1.393,
2006-01,1.384,
2006-04,1.365,
2006-07,1.451,
2006-10,1.459,
2007-01,1.435,
2007-04,1.415,
2007-07,1.437,
2007-10,1.396,
2008-01,1.393,
2008-04,1.356,
2008-07,1.324,
2008-10,1.292,
2009-01,1.278,
2009-04,1.289,
2009-07,1.354,
2009-10,1.436,
2010-01,1.477,
2010-04,1.525,
2010-07,1.465,
2010-10,1.398,
2011-01,1.388,
2011-04,1.405,
2011-07,1.335,
2011-10,1.279,
2012-01,1.244,
2012-04,1.230,
2012-07,1.199,
2012-10,1.115,
2013-01,1.013,
2013-04,0.989,
2013-07,0.947,
2013-10,0.982,
2014-01,1.106,
2014-04,1.066,
2014-07,1.055,
