"",BBK01.OEBM04N,BBK01.OEBM04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:38,
2002-01,1.223,
2002-04,1.140,
2002-07,1.228,
2002-10,1.004,
2003-01,0.664,
2003-04,0.681,
2003-07,0.583,
2003-10,1.004,
2004-01,0.528,
2004-04,0.523,
2004-07,0.695,
2004-10,0.449,
2005-01,0.496,
2005-04,0.426,
2005-07,0.302,
2005-10,0.610,
2006-01,1.440,
2006-04,3.428,
2006-07,2.817,
2006-10,1.187,
2007-01,1.904,
2007-04,2.778,
2007-07,2.524,
2007-10,2.992,
2008-01,2.246,
2008-04,2.492,
2008-07,2.994,
2008-10,4.056,
2009-01,4.197,
2009-04,4.719,
2009-07,3.943,
2009-10,3.704,
2010-01,2.606,
2010-04,3.185,
2010-07,3.631,
2010-10,3.794,
2011-01,4.017,
2011-04,4.682,
2011-07,5.995,
2011-10,4.190,
2012-01,6.806,
2012-04,6.482,
2012-07,6.186,
2012-10,8.117,
2013-01,6.706,
2013-04,6.873,
2013-07,7.404,
2013-10,5.485,
2014-01,4.898,
2014-04,5.650,
2014-07,4.369,
