"",BBK01.OEAD36G,BBK01.OEAD36G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:40,
2002-01,3.561,
2002-04,3.528,
2002-07,3.468,
2002-10,3.458,
2003-01,3.238,
2003-04,3.423,
2003-07,3.386,
2003-10,3.283,
2004-01,3.271,
2004-04,3.319,
2004-07,3.257,
2004-10,3.184,
2005-01,3.102,
2005-04,3.017,
2005-07,3.062,
2005-10,3.034,
2006-01,2.984,
2006-04,3.023,
2006-07,3.001,
2006-10,2.967,
2007-01,2.938,
2007-04,2.996,
2007-07,3.105,
2007-10,3.251,
2008-01,3.281,
2008-04,3.462,
2008-07,3.513,
2008-10,3.635,
2009-01,3.756,
2009-04,3.832,
2009-07,3.784,
2009-10,3.751,
2010-01,4.666,
2010-04,4.691,
2010-07,3.798,
2010-10,3.782,
2011-01,3.743,
2011-04,3.566,
2011-07,3.605,
2011-10,3.649,
2012-01,3.693,
2012-04,3.584,
2012-07,3.630,
2012-10,3.467,
2013-01,3.622,
2013-04,3.778,
2013-07,3.831,
2013-10,3.900,
2014-01,3.825,
2014-04,3.894,
2014-07,3.859,
