"",BBFB1.Q.N.DE.IE.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:40,
1991-01,138.638,
1991-04,139.422,
1991-07,142.357,
1991-10,145.745,
1992-01,62.926,
1992-04,65.074,
1992-07,66.423,
1992-10,70.648,
1993-01,166.864,
1993-04,172.482,
1993-07,177.176,
1993-10,183.042,
1994-01,90.931,
1994-04,86.010,
1994-07,87.164,
1994-10,114.254,
1995-01,145.034,
1995-04,143.428,
1995-07,142.863,
1995-10,148.940,
1996-01,112.868,
1996-04,112.833,
1996-07,116.343,
1996-10,116.033,
1997-01,100.131,
1997-04,98.906,
1997-07,96.343,
1997-10,92.807,
1998-01,45.679,
1998-04,48.712,
1998-07,49.736,
1998-10,53.454,
1999-01,232.025,
1999-04,250.091,
1999-07,256.640,
1999-10,266.209,
2000-01,163.767,
2000-04,164.154,
2000-07,177.775,
2000-10,206.105,
2001-01,381.798,
2001-04,415.501,
2001-07,412.415,
2001-10,386.257,
2002-01,163.195,
2002-04,170.137,
2002-07,155.483,
2002-10,180.202,
2003-01,62.154,
2003-04,71.021,
2003-07,81.185,
2003-10,81.186,
2004-01,29.346,
2004-04,27.412,
2004-07,24.657,
2004-10,29.018,
2005-01,258.633,
2005-04,277.499,
2005-07,261.030,
2005-10,243.057,
2006-01,33.166,
2006-04,45.252,
2006-07,32.442,
2006-10,34.879,
2007-01,218.122,
2007-04,73.607,
2007-07,72.101,
2007-10,74.976,
2008-01,104.031,
2008-04,129.312,
2008-07,100.558,
2008-10,100.806,
2009-01,97.336,
2009-04,94.433,
2009-07,91.628,
2009-10,89.823,
2010-01,210.125,
2010-04,183.938,
2010-07,199.410,
2010-10,209.223,
2011-01,155.262,
2011-04,169.173,
2011-07,180.867,
2011-10,194.728,
2012-01,257.769,
2012-04,264.797,
2012-07,281.744,
2012-10,284.227,
2013-01,314.763,
2013-04,327.372,
2013-07,330.476,
2013-10,342.625,
2014-01,581.433,Provisional value
2014-04,411.594,Provisional value
2014-07,344.715,Provisional value
