"",BBK01.OEBI05V,BBK01.OEBI05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:44,
2002-01,0.698,
2002-04,0.553,
2002-07,0.554,
2002-10,0.490,
2003-01,0.480,
2003-04,0.390,
2003-07,0.394,
2003-10,0.262,
2004-01,0.237,
2004-04,0.236,
2004-07,0.115,
2004-10,0.084,
2005-01,0.238,
2005-04,0.234,
2005-07,0.228,
2005-10,0.220,
2006-01,0.217,
2006-04,0.212,
2006-07,0.192,
2006-10,0.212,
2007-01,0.208,
2007-04,0.223,
2007-07,0.221,
2007-10,0.216,
2008-01,0.206,
2008-04,0.202,
2008-07,0.202,
2008-10,0.237,
2009-01,0.247,
2009-04,0.296,
2009-07,0.368,
2009-10,0.390,
2010-01,0.403,
2010-04,0.408,
2010-07,0.431,
2010-10,0.407,
2011-01,0.441,
2011-04,0.406,
2011-07,0.391,
2011-10,0.388,
2012-01,0.511,
2012-04,0.618,
2012-07,0.614,
2012-10,0.652,
2013-01,0.651,
2013-04,0.743,
2013-07,0.738,
2013-10,0.690,
2014-01,0.755,
2014-04,0.792,
2014-07,0.756,
