"",BBK01.CEF301,BBK01.CEF301_FLAGS
"",Debt securities                                  debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:45,
1999-01,227.3,
1999-04,218.2,
1999-07,208.2,
1999-10,232.2,
2000-01,226.7,
2000-04,220.8,
2000-07,234.0,
2000-10,275.3,
2001-01,291.1,
2001-04,309.6,
2001-07,290.1,
2001-10,320.2,
2002-01,331.0,
2002-04,298.7,
2002-07,321.5,
2002-10,286.1,
2003-01,276.3,
2003-04,281.3,
2003-07,276.1,
2003-10,242.8,
2004-01,233.3,
2004-04,219.0,
2004-07,199.9,
2004-10,190.5,
2005-01,173.5,
2005-04,187.3,
2005-07,171.9,
2005-10,159.7,
2006-01,39.3,
2006-04,41.8,
2006-07,46.9,
2006-10,42.8,
2007-01,46.4,
2007-04,45.6,
2007-07,49.1,
2007-10,43.3,
2008-01,43.2,
2008-04,41.7,
2008-07,39.0,
2008-10,42.0,
2009-01,47.6,
2009-04,47.5,
2009-07,48.6,
2009-10,48.4,
2010-01,48.2,
2010-04,48.5,
2010-07,50.0,
2010-10,48.1,
2011-01,51.6,
2011-04,51.1,
2011-07,51.6,
2011-10,52.6,
2012-01,53.9,
2012-04,53.6,
2012-07,53.9,
2012-10,51.9,
2013-01,50.0,
2013-04,47.4,
2013-07,48.9,
2013-10,48.2,
2014-01,49.7,
2014-04,50.2,
2014-07,50.3,
