"",BBK01.OEBB13G,BBK01.OEBB13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:37,
2002-01,9.232,
2002-04,10.600,
2002-07,10.574,
2002-10,10.726,
2003-01,10.461,
2003-04,10.333,
2003-07,10.674,
2003-10,10.814,
2004-01,10.761,
2004-04,10.822,
2004-07,10.658,
2004-10,11.493,
2005-01,9.821,
2005-04,9.787,
2005-07,6.824,
2005-10,7.003,
2006-01,7.019,
2006-04,7.061,
2006-07,7.056,
2006-10,6.316,
2007-01,6.385,
2007-04,6.444,
2007-07,6.514,
2007-10,6.619,
2008-01,6.673,
2008-04,6.792,
2008-07,6.759,
2008-10,6.869,
2009-01,6.872,
2009-04,7.593,
2009-07,7.546,
2009-10,7.455,
2010-01,7.376,
2010-04,7.380,
2010-07,7.421,
2010-10,7.280,
2011-01,7.424,
2011-04,7.378,
2011-07,7.461,
2011-10,7.388,
2012-01,7.298,
2012-04,7.302,
2012-07,7.234,
2012-10,7.147,
2013-01,7.115,
2013-04,7.228,
2013-07,7.093,
2013-10,7.057,
2014-01,7.051,
2014-04,7.042,
2014-07,7.089,
