"",BBK01.CEBH0N,BBK01.CEBH0N_FLAGS
"",Shares debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:49,
1991-01,70.8,
1991-04,75.9,
1991-07,73.7,
1991-10,73.8,
1992-01,78.1,
1992-04,77.1,
1992-07,62.9,
1992-10,65.9,
1993-01,69.9,
1993-04,71.4,
1993-07,83.6,
1993-10,89.1,
1994-01,81.3,
1994-04,81.0,
1994-07,80.8,
1994-10,82.6,
1995-01,69.6,
1995-04,80.5,
1995-07,85.1,
1995-10,85.7,
1996-01,89.2,
1996-04,99.3,
1996-07,101.4,
1996-10,114.8,
1997-01,130.1,
1997-04,145.1,
1997-07,168.2,
1997-10,175.2,
1998-01,204.8,
1998-04,258.2,
1998-07,207.3,
1998-10,253.2,
1999-01,250.4,
1999-04,249.6,
1999-07,226.8,
1999-10,395.3,
2000-01,478.5,
2000-04,460.0,
2000-07,442.7,
2000-10,332.9,
2001-01,306.0,
2001-04,358.3,
2001-07,295.7,
2001-10,341.7,
2002-01,365.0,
2002-04,331.3,
2002-07,199.5,
2002-10,214.5,
2003-01,201.7,
2003-04,253.6,
2003-07,259.0,
2003-10,306.2,
2004-01,299.9,
2004-04,291.8,
2004-07,284.0,
2004-10,289.6,
2005-01,297.9,
2005-04,309.9,
2005-07,347.1,
2005-10,391.3,
2006-01,691.9,
2006-04,628.9,
2006-07,633.9,
2006-10,627.1,
2007-01,709.7,
2007-04,842.6,
2007-07,839.9,
2007-10,807.5,
2008-01,643.4,
2008-04,606.5,
2008-07,514.9,
2008-10,343.6,
2009-01,261.6,
2009-04,340.5,
2009-07,423.4,
2009-10,440.8,
2010-01,470.9,
2010-04,449.4,
2010-07,466.5,
2010-10,534.4,
2011-01,534.6,
2011-04,552.7,
2011-07,423.0,
2011-10,441.9,
2012-01,519.8,
2012-04,473.9,
2012-07,541.2,
2012-10,580.6,
2013-01,614.8,
2013-04,625.7,
2013-07,675.0,
2013-10,769.1,
2014-01,774.4,
