"",BBK01.OEAM03M,BBK01.OEAM03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:24,
2002-01,1.991,
2002-04,2.040,
2002-07,1.900,
2002-10,1.763,
2003-01,1.428,
2003-04,1.673,
2003-07,1.222,
2003-10,1.424,
2004-01,1.087,
2004-04,1.236,
2004-07,1.047,
2004-10,1.589,
2005-01,1.012,
2005-04,1.134,
2005-07,1.040,
2005-10,1.435,
2006-01,1.406,
2006-04,1.201,
2006-07,1.622,
2006-10,2.020,
2007-01,1.488,
2007-04,1.763,
2007-07,2.172,
2007-10,2.856,
2008-01,2.827,
2008-04,2.913,
2008-07,2.876,
2008-10,4.296,
2009-01,3.111,
2009-04,3.283,
2009-07,1.967,
2009-10,2.470,
2010-01,1.878,
2010-04,3.044,
2010-07,2.720,
2010-10,2.437,
2011-01,2.835,
2011-04,3.618,
2011-07,3.588,
2011-10,4.143,
2012-01,3.339,
2012-04,4.721,
2012-07,4.460,
2012-10,3.345,
2013-01,3.361,
2013-04,5.447,
2013-07,4.205,
2013-10,4.499,
2014-01,6.134,
2014-04,5.836,
2014-07,7.422,
