"",BBFN1.M.DE.N.1.A.AR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:59,
1994-07,1.485,
1994-08,1.045,
1994-09,1.021,
1994-10,1.025,
1994-11,1.137,
1994-12,1.130,
1995-01,1.135,
1995-02,1.123,
1995-03,1.138,
1995-04,1.180,
1995-05,1.161,
1995-06,1.193,
1995-07,1.173,
1995-08,1.167,
1995-09,1.079,
1995-10,1.009,
1995-11,1.055,
1995-12,1.028,
1996-01,1.022,
1996-02,1.037,
1996-03,1.038,
1996-04,1.068,
1996-05,1.082,
1996-06,1.106,
1996-07,1.121,
1996-08,1.088,
1996-09,1.105,
1996-10,1.123,
1996-11,1.138,
1996-12,1.139,
1997-01,1.104,
1997-02,1.122,
1997-03,1.171,
1997-04,1.180,
1997-05,1.199,
1997-06,1.228,
1997-07,1.242,
1997-08,1.248,
1997-09,1.274,
1997-10,1.272,
1997-11,1.256,
1997-12,1.229,
1998-01,1.267,
1998-02,1.300,
1998-03,1.250,
1998-04,1.192,
1998-05,1.217,
1998-06,0.833,
1998-07,0.859,
1998-08,0.912,
1998-09,0.853,
1998-10,0.853,
1998-11,0.829,
1998-12,0.783,
1999-01,0.801,
1999-02,0.785,
1999-03,0.744,
1999-04,0.776,
1999-05,0.672,
1999-06,0.812,
1999-07,0.765,
1999-08,0.777,
1999-09,0.734,
1999-10,0.734,
1999-11,0.809,
1999-12,0.830,
2000-01,0.850,
2000-02,0.826,
2000-03,0.849,
2000-04,0.899,
2000-05,0.992,
2000-06,1.032,
2000-07,1.043,
2000-08,0.992,
2000-09,0.966,
2000-10,1.056,
2000-11,1.179,
2000-12,1.028,
2001-01,0.998,
2001-02,1.001,
2001-03,1.021,
2001-04,1.035,
2001-05,0.941,
2001-06,0.964,
2001-07,0.990,
2001-08,0.984,
2001-09,0.927,
2001-10,0.834,
2001-11,0.822,
2001-12,0.851,
2002-01,0.849,
2002-02,0.858,
2002-03,0.823,
2002-04,0.806,
2002-05,0.797,
2002-06,0.773,
2002-07,0.740,
2002-08,0.722,
2002-09,0.696,
2002-10,0.660,
2002-11,0.681,
2002-12,0.609,
2003-01,0.585,
2003-02,0.585,
2003-03,0.563,
2003-04,0.544,
2003-05,0.539,
2003-06,0.504,
2003-07,0.517,
2003-08,0.522,
2003-09,0.515,
2003-10,0.493,
2003-11,0.413,
2003-12,0.429,
2004-01,0.404,
2004-02,0.505,
2004-03,0.506,
2004-04,0.433,
2004-05,0.522,
2004-06,0.517,
2004-07,0.535,
2004-08,0.539,
2004-09,0.520,
2004-10,0.512,
2004-11,0.521,
2004-12,0.490,
2005-01,0.395,
2005-02,0.400,
2005-03,0.445,
2005-04,0.450,
2005-05,0.504,
2005-06,0.478,
2005-07,0.472,
2005-08,0.454,
2005-09,0.467,
2005-10,0.444,
2005-11,0.458,
2005-12,0.430,
2006-01,0.461,
2006-02,0.461,
2006-03,0.474,
2006-04,0.490,
2006-05,0.487,
2006-06,0.486,
2006-07,0.506,
2006-08,0.488,
2006-09,0.541,
2006-10,0.507,
2006-11,0.492,
2006-12,0.507,
2007-01,0.505,
2007-02,0.529,
2007-03,0.521,
2007-04,0.542,
2007-05,0.547,
2007-06,0.586,
2007-07,0.651,
2007-08,0.642,
2007-09,0.677,
2007-10,0.604,
2007-11,0.634,
2007-12,0.672,
2008-01,0.663,
2008-02,0.589,
2008-03,0.606,
2008-04,0.677,
2008-05,0.683,
2008-06,0.731,
2008-07,0.716,
2008-08,0.715,
2008-09,0.704,
2008-10,0.705,
2008-11,0.699,
2008-12,0.675,
2009-01,0.632,
2009-02,0.638,
2009-03,0.625,
2009-04,0.566,
2009-05,0.580,
2009-06,0.556,
2009-07,0.579,
2009-08,0.527,
2009-09,0.550,
2009-10,0.562,
2009-11,0.576,
2009-12,0.591,
2010-01,0.612,
2010-02,0.649,
2010-03,0.715,
2010-04,0.785,
2010-05,0.831,
2010-06,0.792,
2010-07,0.838,
2010-08,0.770,
2010-09,0.776,
2010-10,0.796,
2010-11,0.827,
2010-12,0.822,
2011-01,0.812,
2011-02,0.843,
2011-03,0.852,
2011-04,0.851,
2011-05,0.882,
2011-06,0.885,
2011-07,0.941,
2011-08,0.889,
2011-09,0.863,
2011-10,0.903,
2011-11,0.911,
2011-12,0.931,
2012-01,0.959,
2012-02,0.940,
2012-03,0.952,
2012-04,1.007,
2012-05,1.035,
2012-06,1.072,
2012-07,1.081,
2012-08,1.153,
2012-09,1.147,
2012-10,1.151,
2012-11,1.136,
2012-12,1.079,
2013-01,1.087,
2013-02,1.120,
2013-03,1.137,
2013-04,1.235,
2013-05,1.248,
2013-06,1.306,
2013-07,1.409,
2013-08,1.386,
2013-09,1.438,
2013-10,1.346,
2013-11,1.317,
2013-12,1.178,
2014-01,1.179,
2014-02,1.220,
2014-03,1.236,
2014-04,1.299,
2014-05,1.164,
2014-06,1.212,
2014-07,1.157,
2014-08,1.236,
2014-09,1.234,
2014-10,1.252,
2014-11,1.168,
2014-12,1.012,
