"",BBK01.WU8554,BBK01.WU8554_FLAGS
"",Term structure of interest rates on Pfandbriefe (method by Svensson) / residual maturity of 2.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:47,
2000-01,4.77,
2000-02,4.79,
2000-03,4.83,
2000-04,5.25,
2000-05,5.34,
2000-06,5.46,
2000-07,5.56,
2000-08,5.52,
2000-09,5.44,
2000-10,5.39,
2000-11,5.02,
2000-12,4.76,
2001-01,4.76,
2001-02,4.63,
2001-03,4.66,
2001-04,4.76,
2001-05,4.60,
2001-06,4.56,
2001-07,4.37,
2001-08,4.08,
2001-09,3.73,
2001-10,3.63,
2001-11,3.89,
2001-12,4.06,
2002-01,4.20,
2002-02,4.43,
2002-03,4.49,
2002-04,4.49,
2002-05,4.39,
2002-06,4.16,
2002-07,3.89,
2002-08,3.61,
2002-09,3.48,
2002-10,3.46,
2002-11,3.28,
2002-12,3.04,
2003-01,2.82,
2003-02,2.79,
2003-03,2.91,
2003-04,2.64,
2003-05,2.39,
2003-06,2.55,
2003-07,2.87,
2003-08,2.84,
2003-09,2.87,
2003-10,3.06,
2003-11,3.01,
2003-12,2.81,
2004-01,2.82,
2004-02,2.56,
2004-03,2.45,
2004-04,2.79,
2004-05,2.83,
2004-06,2.96,
2004-07,2.95,
2004-08,2.76,
2004-09,2.83,
2004-10,2.68,
2004-11,2.64,
2004-12,2.73,
2005-01,2.63,
2005-02,2.72,
2005-03,2.73,
2005-04,2.48,
2005-05,2.41,
2005-06,2.26,
2005-07,2.42,
2005-08,2.43,
2005-09,2.58,
2005-10,2.84,
2005-11,3.01,
2005-12,3.03,
2006-01,3.19,
2006-02,3.27,
2006-03,3.54,
2006-04,3.65,
2006-05,3.60,
2006-06,3.82,
2006-07,3.78,
2006-08,3.81,
2006-09,3.84,
2006-10,3.96,
2006-11,3.94,
2006-12,4.01,
2007-01,4.22,
2007-02,4.13,
2007-03,4.24,
2007-04,4.39,
2007-05,4.60,
2007-06,4.69,
2007-07,4.64,
2007-08,4.56,
2007-09,4.58,
2007-10,4.49,
2007-11,4.45,
2007-12,4.62,
2008-01,4.07,
2008-02,3.94,
2008-03,4.28,
2008-04,4.61,
2008-05,4.97,
2008-06,5.28,
2008-07,5.10,
2008-08,4.93,
2008-09,4.89,
2008-10,4.04,
2008-11,3.56,
2008-12,3.10,
2009-01,2.82,
2009-02,2.75,
2009-03,2.57,
2009-04,2.55,
2009-05,2.40,
2009-06,2.31,
2009-07,2.18,
2009-08,2.04,
2009-09,1.93,
2009-10,2.04,
2009-11,1.94,
2009-12,1.98,
2010-01,1.90,
2010-02,1.64,
2010-03,1.64,
2010-04,1.57,
2010-05,1.48,
2010-06,1.48,
2010-07,1.65,
2010-08,1.44,
2010-09,1.59,
2010-10,1.78,
2010-11,1.79,
2010-12,1.80,
2011-01,2.19,
2011-02,2.29,
2011-03,2.52,
2011-04,2.55,
2011-05,2.38,
2011-06,2.35,
2011-07,2.18,
2011-08,1.79,
2011-09,1.80,
2011-10,1.84,
2011-11,1.83,
2011-12,1.62,
2012-01,1.46,
2012-02,1.36,
2012-03,1.31,
2012-04,1.19,
2012-05,1.07,
2012-06,1.07,
2012-07,0.79,
2012-08,0.65,
2012-09,0.62,
2012-10,0.62,
2012-11,0.57,
2012-12,0.51,
2013-01,0.78,
2013-02,0.60,
2013-03,0.59,
2013-04,0.50,
2013-05,0.55,
2013-06,0.68,
2013-07,0.67,
2013-08,0.71,
2013-09,0.65,
2013-10,0.64,
2013-11,0.52,
2013-12,0.60,
2014-01,0.55,
2014-02,0.51,
2014-03,0.55,
2014-04,0.54,
2014-05,0.44,
2014-06,0.40,
2014-07,0.42,
2014-08,0.36,
2014-09,0.29,
2014-10,0.29,
2014-11,0.27,
2014-12,0.23,
2015-01,0.19,
