"",BBK01.OEAN04K,BBK01.OEAN04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:56,
2002-01,6.570,
2002-04,6.248,
2002-07,6.694,
2002-10,7.098,
2003-01,7.293,
2003-04,7.230,
2003-07,7.242,
2003-10,7.525,
2004-01,7.539,
2004-04,7.588,
2004-07,7.687,
2004-10,7.994,
2005-01,9.397,
2005-04,9.723,
2005-07,9.468,
2005-10,9.474,
2006-01,9.521,
2006-04,9.523,
2006-07,9.481,
2006-10,9.614,
2007-01,9.658,
2007-04,9.607,
2007-07,9.405,
2007-10,9.140,
2008-01,9.439,
2008-04,9.342,
2008-07,9.055,
2008-10,9.575,
2009-01,9.375,
2009-04,9.185,
2009-07,9.161,
2009-10,9.073,
2010-01,9.177,
2010-04,9.176,
2010-07,9.241,
2010-10,9.411,
2011-01,9.379,
2011-04,9.374,
2011-07,9.269,
2011-10,9.253,
2012-01,9.414,
2012-04,9.310,
2012-07,9.519,
2012-10,9.613,
2013-01,9.309,
2013-04,9.260,
2013-07,9.205,
2013-10,9.161,
2014-01,9.331,
2014-04,9.275,
2014-07,9.250,
